InjectedRatio,Repeat,Model,ActualMeanSaturationRatio,MAE,RMSE,R2
0.1,10,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,10,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.3,1,AllSensorsTime,0.3,0.10385008740865,0.147883309806315,0.493442433188881
0.3,1,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,1,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,2,AllSensorsTime,0.3,0.103719207508351,0.147165138799368,0.498350513797517
0.3,2,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,2,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,3,AllSensorsTime,0.3,0.102471293081757,0.146694311360031,0.501555247220955
0.3,3,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,3,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,4,AllSensorsTime,0.3,0.103547315108907,0.14704163468403,0.499192150331897
0.3,4,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,4,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,5,AllSensorsTime,0.3,0.103117916197242,0.147310855100443,0.497356600461934
0.3,5,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,5,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,6,AllSensorsTime,0.3,0.102852507817938,0.146508400255,0.502817841443547
0.3,6,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,6,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,7,AllSensorsTime,0.3,0.104576247705533,0.148267202133888,0.490809060038748
0.3,7,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,7,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,8,AllSensorsTime,0.3,0.102557268220379,0.146539346036958,0.502607787746388
0.3,8,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,8,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,9,AllSensorsTime,0.3,0.102642049746018,0.146907731744568,0.500103852782813
0.3,9,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,9,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.3,10,AllSensorsTime,0.3,0.104445517018638,0.147826269135563,0.493833130569656
0.3,10,QualityAwareTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
