Repeat,Seed,Dataset,TargetPair,FaultType,RunLevelN,FullMAE,MedianReplacementMAE,SingleMaskTrainMAE,MultiMaskTrainMAE,SingleSQTR_MAE,SubsetRoutingMAE,OraclePairExclusionMAE,ExactSetDetectionRate,BothTargetDetectedRate,ExtraChannelTriggerRate,MeanDurationFraction,MeanSeverity
2,2026081502,PHM2010,force_z+vibration_y,GradualDrift,945,0.0135271839462871,0.0129724908887293,0.0129282672673383,0.0145765516362246,0.012996455799037,0.0129772306048798,0.0120501203448286,0.00211640211640212,0.00211640211640212,0.0137566137566138,0.696105181199599,1.758776523812
2,2026081502,PHM2010,force_z+vibration_y,HeteroscedasticNoise,945,0.013928253652873,0.0138536717447762,0.0132214252705833,0.0132385860486691,0.013688443970369,0.013690540958497,0.0120501203448286,0,0,0.0137566137566138,0.693730329329025,1.25171736335963
2,2026081502,PHM2010,vibration_x+vibration_y,SoftClipping,945,0.0121567145230711,0.0121956034546085,0.012509846476723,0.0130438275198545,0.0122288005082651,0.0122191385359854,0.013837131998922,0,0,0.00952380952380952,0.504593880766719,1.75074370898322
2,2026081502,PHM2010,vibration_x+vibration_y,IntermittentDropout,945,0.0118130506550309,0.0137583475858383,0.0137754257747077,0.0142807252907295,0.0130434746305489,0.0142552567494155,0.013837131998922,0.397883597883598,0.403174603174603,0.00952380952380952,0.260606456879858,0.260606456879858
2,2026081502,PHM2010,vibration_x+vibration_y,GradualDrift,945,0.0143442884950011,0.0144257924843825,0.0140699881554546,0.0154819742196878,0.0144183924575183,0.0144147403209299,0.013837131998922,0.00105820105820106,0.00105820105820106,0.00952380952380952,0.701876875008508,1.74525895020456
2,2026081502,PHM2010,vibration_x+vibration_y,HeteroscedasticNoise,945,0.0141123105777923,0.0141520398724024,0.0132675318653288,0.0138486547548081,0.0141547754632378,0.0141451714497791,0.013837131998922,0,0,0.00952380952380952,0.698369457036984,1.23699411906628
3,2026081503,NUAA,force_z+vibration_x,SoftClipping,152,0.0442365792758097,0.0418450702588504,0.040907698476299,0.0429823499885488,0.0430024391990403,0.042820742458466,0.0586484258120297,0.0131578947368421,0.0131578947368421,0.0197368421052632,0.484732973926433,1.73903846539821
3,2026081503,NUAA,force_z+vibration_x,IntermittentDropout,152,0.0473950768308941,0.041802699966899,0.0398463666221136,0.0425990058043413,0.0467172292823217,0.057054232175182,0.0586484258120297,0.868421052631579,0.875,0.0197368421052632,0.255226962236977,0.255226962236977
3,2026081503,NUAA,force_z+vibration_x,GradualDrift,152,0.0491579390663106,0.0430650702238777,0.0431957407496634,0.0435573144988961,0.0439559630682683,0.0437496191077887,0.0586484258120297,0.0131578947368421,0.0131578947368421,0.0197368421052632,0.701827776928071,1.74161718191925
3,2026081503,NUAA,force_z+vibration_x,HeteroscedasticNoise,152,0.0619819490206792,0.0489492389711637,0.0498241224885184,0.0475790481677968,0.0505038689488405,0.0499745820464855,0.0586484258120297,0.00657894736842105,0.00657894736842105,0.0197368421052632,0.713248364061092,1.22501675243377
3,2026081503,NUAA,force_z+vibration_y,SoftClipping,152,0.0454875217287071,0.0416584578361217,0.0415174597195313,0.0429229079596284,0.0439223268333801,0.0437467212222419,0.040833826260722,0.0131578947368421,0.0131578947368421,0.00657894736842105,0.479448002386124,1.78216004110296
3,2026081503,NUAA,force_z+vibration_y,IntermittentDropout,152,0.0474619305490133,0.0403786077876546,0.0388679644472136,0.0405372998422955,0.0438729844209697,0.0404029405035137,0.040833826260722,0.835526315789474,0.835526315789474,0.00657894736842105,0.259411058774903,0.259411058774903
3,2026081503,NUAA,force_z+vibration_y,GradualDrift,152,0.0556552391479902,0.0437447183459641,0.0427876267521124,0.0441439872806066,0.0447927761382603,0.0437173927046416,0.040833826260722,0.105263157894737,0.105263157894737,0.00657894736842105,0.692663741020349,1.8166535119795
3,2026081503,NUAA,force_z+vibration_y,HeteroscedasticNoise,152,0.061739473815771,0.0466062519564206,0.0463295502303981,0.0467264908655942,0.0463691214788716,0.0463326717252815,0.040833826260722,0.0131578947368421,0.0131578947368421,0.00657894736842105,0.699613823992543,1.25646365058567
3,2026081503,NUAA,vibration_x+vibration_y,SoftClipping,152,0.0391686271556974,0.0392202352821741,0.0403953318328197,0.0402567703379526,0.0391591537968407,0.0391591537968407,0.0379406954754658,0,0,0.0131578947368421,0.512189652345665,1.7513727387282
3,2026081503,NUAA,vibration_x+vibration_y,IntermittentDropout,152,0.0421240937930807,0.0381550550447359,0.0374069017775911,0.0377409178067707,0.03952446316243,0.0378296641271633,0.0379406954754658,0.986842105263158,1,0.0131578947368421,0.259516955904022,0.259516955904022
3,2026081503,NUAA,vibration_x+vibration_y,GradualDrift,152,0.0449374380469915,0.0412633977069439,0.0402394801546299,0.0397408335373094,0.0411996742152523,0.0410773165064613,0.0379406954754658,0.00657894736842105,0.00657894736842105,0.0131578947368421,0.699018293190163,1.75726592166898
3,2026081503,NUAA,vibration_x+vibration_y,HeteroscedasticNoise,152,0.0399056394451195,0.0400729396700239,0.0404099630694104,0.0408733186121732,0.0400438645922841,0.0400438645922841,0.0379406954754658,0,0,0.0131578947368421,0.681116188859015,1.25397262514178
3,2026081503,PHM2010,force_z+vibration_x,SoftClipping,945,0.0163167625771093,0.0161204244689885,0.0134901362474226,0.0135742755253668,0.015907996143743,0.0158924160445048,0.0114861988707107,0.00211640211640212,0.00211640211640212,0.00846560846560847,0.496937918517877,1.76660161799867
3,2026081503,PHM2010,force_z+vibration_x,IntermittentDropout,945,0.0155328157902068,0.0147794177154201,0.0121699657663095,0.0130422845398481,0.0109351868872799,0.0121257045172451,0.0114861988707107,0.68042328042328,0.688888888888889,0.00846560846560847,0.263610120589975,0.263610120589975
3,2026081503,PHM2010,force_z+vibration_x,GradualDrift,945,0.014076787115194,0.0134726011928082,0.0127610455242881,0.0139567750497279,0.0134231661674374,0.0134432854702974,0.0114861988707107,0.019047619047619,0.019047619047619,0.00846560846560847,0.697936395172391,1.77099927716246
3,2026081503,PHM2010,force_z+vibration_x,HeteroscedasticNoise,945,0.0142766228435268,0.0143005806121702,0.0138853128120982,0.0141096826531787,0.0141638273081604,0.0141593387295814,0.0114861988707107,0.00211640211640212,0.00211640211640212,0.00846560846560847,0.699608212142483,1.24562482090195
3,2026081503,PHM2010,force_z+vibration_y,SoftClipping,945,0.016122664409675,0.0159881612027922,0.0136536185678919,0.0141173983645214,0.015857270121498,0.0158394925083717,0.0120501203448286,0,0,0.0137566137566138,0.496271206232773,1.74490295432911
3,2026081503,PHM2010,force_z+vibration_y,IntermittentDropout,945,0.0145481149079419,0.0139352582508753,0.0123354021648349,0.0131693052721851,0.0108068387564792,0.0115032872692401,0.0120501203448286,0.393650793650794,0.4,0.0137566137566138,0.26063799056243,0.26063799056243
3,2026081503,PHM2010,force_z+vibration_y,GradualDrift,945,0.0133614139481798,0.0128855876501772,0.0129377989419203,0.0145559198510971,0.0128837340012478,0.0128989232987267,0.0120501203448286,0,0,0.0137566137566138,0.696918396675185,1.79058033559862
3,2026081503,PHM2010,force_z+vibration_y,HeteroscedasticNoise,945,0.0140907876488899,0.0141676339299831,0.0136212380308543,0.0136544481667218,0.0140128872928373,0.0140108030296317,0.0120501203448286,0,0,0.0137566137566138,0.697510737600423,1.25614794220057
3,2026081503,PHM2010,vibration_x+vibration_y,SoftClipping,945,0.0120487357691115,0.0121109283011638,0.0123561359838724,0.0129009018212261,0.0121053927989172,0.0120957464389603,0.013837131998922,0,0,0.00952380952380952,0.499786472314748,1.74899569621387
3,2026081503,PHM2010,vibration_x+vibration_y,IntermittentDropout,945,0.0118950072906697,0.0137103314177787,0.0137342273486057,0.0142637895116238,0.0130353049485666,0.0141828967702846,0.013837131998922,0.385185185185185,0.389417989417989,0.00952380952380952,0.260411048219479,0.260411048219479
3,2026081503,PHM2010,vibration_x+vibration_y,GradualDrift,945,0.0138777681013278,0.0139804280282192,0.0143584054926372,0.0161118905304592,0.0139552143555121,0.013950240972177,0.013837131998922,0.00105820105820106,0.00105820105820106,0.00952380952380952,0.69770540255697,1.77142662938923
3,2026081503,PHM2010,vibration_x+vibration_y,HeteroscedasticNoise,945,0.0141835241738103,0.0142164758374143,0.0132550053088722,0.0137977154552936,0.0142265483751478,0.0142168804490191,0.013837131998922,0,0,0.00952380952380952,0.695859077815039,1.24637620617247
4,2026081504,NUAA,force_z+vibration_x,SoftClipping,152,0.0469885041854261,0.0424296773696522,0.0412776561917759,0.0432362849753893,0.0439615732629185,0.043320740096599,0.0586484258120297,0.00657894736842105,0.00657894736842105,0.0197368421052632,0.496919360821373,1.688768481846
4,2026081504,NUAA,force_z+vibration_x,IntermittentDropout,152,0.0454437736955837,0.0416504417175082,0.0399416937729852,0.0426499564187227,0.045932503210764,0.0559642301435851,0.0586484258120297,0.835526315789474,0.848684210526316,0.0197368421052632,0.256743658562342,0.256743658562342
4,2026081504,NUAA,force_z+vibration_x,GradualDrift,152,0.0487126824163143,0.0428160046941307,0.042795826036306,0.0428846751484711,0.0441775570076742,0.0439188399680175,0.0586484258120297,0.0131578947368421,0.0131578947368421,0.0197368421052632,0.703539999991383,1.75200521228536
4,2026081504,NUAA,force_z+vibration_x,HeteroscedasticNoise,152,0.0638902871714373,0.0481117012207987,0.0486999525229503,0.0475220394006212,0.0495272915873747,0.0490574327198308,0.0586484258120297,0,0,0.0197368421052632,0.693270138562293,1.2814492277783
