Dataset,FaultSensor,FaultType,SeverityLevel,SeverityValue,SeverityUnit,Model,MAE,RMSE,R2,MacroMAE,NormalizedMAE,P95AbsoluteError,MaximumAbsoluteError
NUAA,vibration_y,Bias,4,3,signal_sd,OracleGate,0.0380944885855088,0.0475588327065642,0.564931500527976,0.0393976286940914,0.963466210929845,0.0867768130661906,0.142068623997831
NUAA,vibration_y,Noise,1,0.25,signal_sd,FullModel,0.039424343170541,0.0483565539566251,0.55021397798654,0.0401007547250276,0.997100209067207,0.0881482015293513,0.137217925230132
NUAA,vibration_y,Noise,1,0.25,signal_sd,AutoGate,0.0395270278284783,0.0484744380949683,0.548018318334047,0.0406687151901428,0.999697256618624,0.0881482015293513,0.137217925230132
NUAA,vibration_y,Noise,1,0.25,signal_sd,OracleGate,0.0380944885855088,0.0475588327065642,0.564931500527976,0.0393976286940914,0.963466210929845,0.0867768130661906,0.142068623997831
NUAA,vibration_y,Noise,2,0.5,signal_sd,FullModel,0.0395726807486448,0.048627778907723,0.54515425793031,0.0401694042602803,1.00085188679333,0.0881160952918265,0.137453937419545
NUAA,vibration_y,Noise,2,0.5,signal_sd,AutoGate,0.0397090967548292,0.0487435768823226,0.542985418266526,0.0407526937069737,1.00430205025447,0.0881160952918265,0.137453937419545
NUAA,vibration_y,Noise,2,0.5,signal_sd,OracleGate,0.0380944885855088,0.0475588327065642,0.564931500527976,0.0393976286940914,0.963466210929845,0.0867768130661906,0.142068623997831
NUAA,vibration_y,Noise,3,1,signal_sd,FullModel,0.0403201288221303,0.0498777053934144,0.521471070723476,0.0405799846983666,1.01975595900869,0.0921394904530372,0.137545208071607
NUAA,vibration_y,Noise,3,1,signal_sd,AutoGate,0.040424488175523,0.0499427374666936,0.520222416015937,0.0411213660630775,1.02239536209617,0.0921394904530372,0.137545208071607
NUAA,vibration_y,Noise,3,1,signal_sd,OracleGate,0.0380944885855088,0.0475588327065642,0.564931500527976,0.0393976286940914,0.963466210929845,0.0867768130661906,0.142068623997831
NUAA,vibration_y,Noise,4,2,signal_sd,FullModel,0.0426966816039247,0.0563068332806155,0.390157800859363,0.0420621033594041,1.0798625095563,0.119837887434772,0.153168833428925
