DetectorFloor,DetectorQuantile,Dataset,TargetSensor,FaultType,TechnicalRepeatN,MeanCorrectDetectionRate,SDCorrectDetectionRate,MeanMAEImprovementPercent
4,99,PHM2010,vibration_y,Bias,30,0.0396119929453263,0.00512931811381414,-0.649965083011707
4,99,PHM2010,vibration_y,Noise,30,0.000564373897707231,0.000772800786603409,-0.525115661667253
4,99.5,NUAA,force_z,Saturation,30,0.967543859649123,0.015543045730378,53.1128818161133
4,99.5,NUAA,force_z,Dropout,30,0.929385964912281,0.0174433752692505,20.6721284369726
4,99.5,NUAA,force_z,Bias,30,0.566228070175439,0.0471870055609287,28.1950397056173
4,99.5,NUAA,force_z,Noise,30,0.618640350877193,0.0329393224763176,47.6598064646834
4,99.5,NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805
4,99.5,NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407
4,99.5,NUAA,vibration_x,Bias,30,0.0138157894736842,0.00468399130790691,0.000479522095848998
4,99.5,NUAA,vibration_x,Noise,30,0.00657894736842105,4.41094754225289e-18,-0.42602565305533
4,99.5,NUAA,vibration_y,Saturation,30,1,0,24.9581641823801
4,99.5,NUAA,vibration_y,Dropout,30,1,0,9.11497907264581
4,99.5,NUAA,vibration_y,Bias,30,0.413377192982456,0.0515740897066845,14.4742175915741
4,99.5,NUAA,vibration_y,Noise,30,0.0236842105263158,0.00802969938498328,0.283953294885868
4,99.5,PHM2010,force_z,Saturation,30,1,0,41.1674683924903
4,99.5,PHM2010,force_z,Dropout,30,1,0,50.0166272725524
4,99.5,PHM2010,force_z,Bias,30,0.284409171075838,0.0158344927734435,12.0674607731449
4,99.5,PHM2010,force_z,Noise,30,0.0447971781305114,0.00496599545283716,0.931682481578487
4,99.5,PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328
4,99.5,PHM2010,vibration_x,Dropout,30,0.76342151675485,0.0119259138922002,-4.18968695158332
4,99.5,PHM2010,vibration_x,Bias,30,0.0398941798941799,0.00501871902027154,-0.0637031955830497
4,99.5,PHM2010,vibration_x,Noise,30,0.000388007054673721,0.000650738518368654,-0.0347161353054533
4,99.5,PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647
4,99.5,PHM2010,vibration_y,Dropout,30,0.654744268077601,0.0135656352780359,-9.65230295003898
4,99.5,PHM2010,vibration_y,Bias,30,0.0393650793650794,0.00508179714322451,-0.0915450054231767
4,99.5,PHM2010,vibration_y,Noise,30,0.000564373897707231,0.000772800786603409,-0.0779311794643616
5,97.5,NUAA,force_z,Saturation,30,0.985745614035087,0.0110740185727654,53.3913994474539
5,97.5,NUAA,force_z,Dropout,30,0.931359649122807,0.0151294417070825,20.61946103761
5,97.5,NUAA,force_z,Bias,30,0.622368421052632,0.0410528060864642,29.1158062167794
5,97.5,NUAA,force_z,Noise,30,0.642324561403509,0.031503394445036,48.2524546944687
5,97.5,NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805
5,97.5,NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407
5,97.5,NUAA,vibration_x,Bias,30,0.51359649122807,0.0358655467084768,1.37408050914858
5,97.5,NUAA,vibration_x,Noise,30,0.104605263157895,0.0152929726325529,0.485254465176795
5,97.5,NUAA,vibration_y,Saturation,30,1,0,24.9581641823801
5,97.5,NUAA,vibration_y,Dropout,30,1,0,9.11497907264581
5,97.5,NUAA,vibration_y,Bias,30,0.661842105263158,0.0321652321420881,17.7337822699666
5,97.5,NUAA,vibration_y,Noise,30,0.155921052631579,0.0233816886111283,5.07111759447584
5,97.5,PHM2010,force_z,Saturation,30,1,0,41.1674683924903
5,97.5,PHM2010,force_z,Dropout,30,1,0,50.0166272725524
5,97.5,PHM2010,force_z,Bias,30,0.74021164021164,0.0147462379237864,20.647947128406
5,97.5,PHM2010,force_z,Noise,30,0.583456790123457,0.0131451060708393,13.0294418607239
5,97.5,PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328
5,97.5,PHM2010,vibration_x,Dropout,30,0.998694885361552,0.000455220176880471,-1.6241682469013
5,97.5,PHM2010,vibration_x,Bias,30,0.415202821869488,0.0115301671068886,15.4563768462728
5,97.5,PHM2010,vibration_x,Noise,30,0.133015873015873,0.00511776218605577,4.38367094451353
5,97.5,PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647
5,97.5,PHM2010,vibration_y,Dropout,30,0.789453262786596,0.0107287160788322,-9.45749054248406
5,97.5,PHM2010,vibration_y,Bias,30,0.111146384479718,0.00770373645079329,1.45540525471064
5,97.5,PHM2010,vibration_y,Noise,30,0.00257495590828924,0.00163660775709283,2.13836098178474
