Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianReplacementMAE,CleanMaskDropoutMAE,CleanAutoMAE,CleanTriggerRate,FullRelativeMAE,MedianReplacementRelativeMAE,MaskDropoutRelativeMAE,AutoRelativeMAE,MedianImprovementPercent,MaskDropoutImprovementPercent,AutoImprovementPercent
8,2026071808,NUAA,W6,14,0.0360025923619169,0.0375772410008179,0.0365848603558963,0.0340589736308353,0.714285714285714,1.26153073492589,1.02479069826787,1.00885131238296,0.964344144863854,18.766093453278,20.0295890973893,23.5576178870897
8,2026071808,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0769839701819179,0,1.01903152594795,1.01201792637001,0.985106960668167,1.00248054610217,0.688261295097328,3.32909869969221,1.62418722329411
8,2026071808,NUAA,W8,31,0.0589604040915583,0.0591326667941798,0.060023138097507,0.0592211516527759,0.032258064516129,1.22226431952509,1.03047396271189,1.01972242515529,1.04808488242172,15.6913978220122,16.5710387789521,14.2505540185485
8,2026071808,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.052176046086479,0,0.975274978502465,1.03792264106796,1.10110890997659,1.0991217228622,-6.42358964870463,-12.9024053982541,-12.6986488005571
8,2026071808,PHM2010,c1,315,0.00801215564201792,0.00745896232553072,0.00927987493772298,0.00802047011664012,0.307936507936508,1.17341651141242,0.914500187611782,1.1117731680818,1.11643855671435,22.0651679333359,5.25332162374523,4.85573145970945
8,2026071808,PHM2010,c4,315,0.0150087833008585,0.0154105554207928,0.0154616812654739,0.0151692014908191,0.0920634920634921,1.03186560881839,1.12493332949456,1.1264725980683,1.03868800482332,-9.01936452584644,-9.16853788336364,-0.661170984537918
8,2026071808,PHM2010,c6,315,0.0145958561471217,0.0127749705239092,0.0109423572151784,0.0133401554334141,0.282539682539683,1.36819725712704,0.967406696325461,0.801980360890583,0.906885325343572,29.2933316971532,41.3841566548236,33.7167706908092
9,2026071809,NUAA,W1,29,0.0189662457220917,0.0182759483719491,0.0170741751509185,0.0186268797759544,0.137931034482759,2.24255360595752,1.04624437080867,1.00068112454841,1.02026333407097,53.3458478749746,55.3776051600275,54.5043948398577
9,2026071809,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0139356538370896,0.117647058823529,2.43466301425539,1.12227021968037,1.26929305918231,1.13160564512117,53.9044946627407,47.8657599942838,53.5210565694137
9,2026071809,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0295033416448534,0,1.24810226884581,0.991489450415486,0.919573003983136,0.989225506656437,20.5602397203899,26.3223033130517,20.7416306060216
9,2026071809,NUAA,W4,28,0.0499947737234601,0.0491688217260779,0.0505121994922675,0.0490388805558007,0.0714285714285714,1.24515874168347,0.956084762300807,0.958959523889604,0.974217432399311,23.2158334279396,22.9849583200068,21.7595797398365
9,2026071809,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0308928557556908,0.142857142857143,1.69656415474307,1.15350980491376,1.18170479257606,1.41335864230346,32.0090665779477,30.347179075287,16.6928855385666
9,2026071809,NUAA,W6,14,0.0360025923619169,0.0375772410008179,0.0365848603558963,0.0340589736308353,0.714285714285714,1.17300529039378,1.03101829494249,1.01040218607792,0.97108667425934,12.1045485995743,13.8620947106962,17.2137856314917
9,2026071809,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0769839701819179,0,1.042177628612,1.02214431978373,0.995507360940349,1.0153505666663,1.92225473645451,4.47814905927352,2.57413527302703
9,2026071809,NUAA,W8,31,0.0589604040915583,0.0591326667941798,0.060023138097507,0.0592211516527759,0.032258064516129,1.25374763961943,1.03678433315306,1.02175439216809,1.05561323847912,17.3051816498117,18.5039827888935,15.8033718173502
9,2026071809,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.052176046086479,0,0.980496590843788,1.07250092829715,1.13420332492863,1.12831021328646,-9.3834428709419,-15.6764169830067,-15.0753836191792
