ConditionOverlapPercent,OverlappingConditionN,Repeat,Seed,TrainCaseN,TestCaseN,TrainRecordN,TestRecordN,FixedPooledMAE,ReducedPooledMAE,SQTRPooledMAE,FixedCaseMacroMAE,ReducedCaseMacroMAE,SQTRCaseMacroMAE,FixedMinusSQTRPooled,FixedMinusSQTRCaseMacro,LambdaAll,LambdaReduced,Gate,TestCases
0,0,47,2026082447,8,8,73,73,0.157951313761502,0.187528745785212,0.161582008197084,0.163811176407728,0.197749079140537,0.176348365510345,-0.00363069443558195,-0.0125371891026174,10,1,0.01,1|2|4|5|9|10|12|16
0,0,48,2026082448,8,8,73,73,0.157951313761502,0.187528745785212,0.161582008197084,0.163811176407728,0.197749079140537,0.176348365510345,-0.00363069443558195,-0.0125371891026174,10,1,0.01,1|2|4|5|9|10|12|16
0,0,49,2026082449,8,8,73,73,0.157951313761502,0.187528745785212,0.161582008197084,0.163811176407728,0.197749079140537,0.176348365510345,-0.00363069443558195,-0.0125371891026174,10,1,0.01,1|2|4|5|9|10|12|16
0,0,50,2026082450,8,8,88,58,0.282745953456312,0.168237870268418,0.16938265732829,0.269234785505564,0.183774841052856,0.191265791560696,0.113363296128021,0.0779689939448683,3.16227766016838,1,0.5,2|4|5|6|10|12|15|16
0,0,51,2026082451,8,8,80,66,0.143167568978189,0.134812307051533,0.134005762660296,0.132699196395195,0.129091508386636,0.125902610296366,0.00916180631789268,0.00679658609882827,316.227766016838,316.227766016838,0.5,1|4|6|7|9|10|13|15
0,0,52,2026082452,8,8,68,78,0.122242259941447,0.123230459231123,0.115790059454349,0.144279186290698,0.147361377329062,0.140999940294696,0.00645220048709838,0.00327924599600119,1000,1000,0.01,2|3|6|8|11|12|14|15
0,0,53,2026082453,8,8,88,58,0.282745953456312,0.168237870268418,0.16938265732829,0.269234785505564,0.183774841052856,0.191265791560696,0.113363296128021,0.0779689939448683,3.16227766016838,1,0.5,2|4|5|6|10|12|15|16
0,0,54,2026082454,8,8,77,69,0.26015966242149,0.186896093200732,0.170804414782036,0.231714646229678,0.185996483677539,0.158932054300368,0.0893552476394546,0.0727825919293095,3.16227766016838,1,0.5,2|4|6|7|10|12|13|15
0,0,55,2026082455,8,8,68,78,0.122242259941447,0.123230459231123,0.115790059454349,0.144279186290698,0.147361377329062,0.140999940294696,0.00645220048709838,0.00327924599600119,1000,1000,0.01,2|3|6|8|11|12|14|15
0,0,56,2026082456,8,8,86,60,0.136643324408668,0.181536485472584,0.184961817204372,0.142320932024998,0.188364172881148,0.191595972712825,-0.0483184927957043,-0.0492750406878275,1000,316.227766016838,0.5,1|4|5|8|9|10|14|16
0,0,57,2026082457,8,8,79,67,0.117492894881372,0.130899656420911,0.117133743536818,0.158535241561668,0.141991163011538,0.151240366874147,0.000359151344553749,0.00729487468752096,316.227766016838,1,0.01,3|4|5|6|10|11|15|16
