Dataset,Experiment,TargetSensor,FaultType,SeverityBin,RecordScenarioRows,TechnicalRepeatN,FixedMAE,DetectorGuidedMedianMAE,DetectorGuidedMaskMAE,SQTR_MAE,OracleEnvelopeMAE,MeanSQTRRegret,CorrectDetectionRate,MissRate,WrongChannelRate
NUAA,W1,vibration_x,Bias,Medium,281,30,0.0196315417174585,0.0194847324407571,0.0184062991828537,0.0193724827961237,0.0158472619607417,0.00352522083538199,0,0.928825622775801,0.0711743772241993
NUAA,W2,vibration_x,Bias,Medium,156,30,0.0149367743973312,0.0151476427634886,0.0173272036604024,0.0151726223398289,0.0122218526883799,0.00295076965144898,0,0.916666666666667,0.0833333333333333
NUAA,W3,vibration_x,Bias,Medium,114,30,0.0284423820781886,0.0284792560459671,0.0253168294762313,0.028479315047979,0.0226541450076429,0.00582517004033608,0.0087719298245614,0.991228070175439,0
NUAA,W4,vibration_x,Bias,Medium,301,30,0.05060570160914,0.0504238722440159,0.053177352367283,0.0504325245942209,0.0457683769171614,0.00466414767705951,0,0.956810631229236,0.0431893687707641
NUAA,W5,vibration_x,Bias,Medium,80,30,0.0271949205680954,0.0281039525186099,0.0280939352756261,0.0314344941188508,0.0218564209933601,0.00957807312549068,0.4,0.6,0
NUAA,W6,vibration_x,Bias,Medium,143,30,0.0356021158633233,0.0356403929094106,0.0349212002357467,0.0356644294881162,0.030719696083127,0.00494473340498926,0.027972027972028,0.972027972027972,0
NUAA,W7,vibration_x,Bias,Medium,80,30,0.0770790424409611,0.0769084631372756,0.0737093788202387,0.0769174723791476,0.0681403256213765,0.00877714675777114,0.05,0.95,0
NUAA,W8,vibration_x,Bias,Medium,299,30,0.0583761434147419,0.0583761434147419,0.0598833571680559,0.0583761434147419,0.0527881302252725,0.00558801318946939,0,1,0
NUAA,W9,vibration_x,Bias,Medium,70,30,0.0552469343164168,0.0549856624109228,0.0573739841414651,0.055187726638039,0.0516067634125976,0.00358096322544145,0.0285714285714286,0.971428571428571,0
NUAA,W1,vibration_x,Bias,High,300,30,0.0204776530747498,0.0199655193377985,0.0189072729934464,0.0198344039334659,0.0155970385705135,0.00423736536295235,0.1,0.816666666666667,0.0833333333333333
NUAA,W2,vibration_x,Bias,High,169,30,0.0162291129488203,0.0156351047775449,0.0183735679575801,0.0152227365387175,0.0120212069189584,0.00320152961975914,0.165680473372781,0.715976331360947,0.118343195266272
NUAA,W3,vibration_x,Bias,High,96,30,0.0305551848119868,0.0302781604563383,0.0276288616186732,0.0303027815429824,0.0248743493630644,0.00542843217991799,0.260416666666667,0.739583333333333,0
NUAA,W4,vibration_x,Bias,High,274,30,0.0517843785027538,0.0513566449656085,0.05509084045804,0.0513013221622066,0.0468020930373658,0.00449922912484084,0.193430656934307,0.781021897810219,0.0255474452554745
NUAA,W5,vibration_x,Bias,High,65,30,0.0336458389414947,0.0306346230601537,0.0293778464041943,0.0346276587890464,0.0232969407574849,0.0113307180315614,0.569230769230769,0.430769230769231,0
NUAA,W6,vibration_x,Bias,High,137,30,0.0377427356743008,0.0378200306309621,0.0369141800054481,0.037509091053873,0.0326834215043416,0.00482566954953146,0.0510948905109489,0.948905109489051,0
NUAA,W7,vibration_x,Bias,High,71,30,0.0740888255263814,0.0738500926897047,0.0697958120442534,0.0738053582849336,0.0643549148331596,0.00945044345177404,0.394366197183099,0.605633802816901,0
NUAA,W8,vibration_x,Bias,High,314,30,0.059167482621695,0.0592374290727059,0.0617349976101598,0.0592456111932167,0.0527324395121809,0.00651317168103574,0.0222929936305732,0.977707006369427,0
NUAA,W9,vibration_x,Bias,High,73,30,0.0535439882378824,0.0529806268166332,0.0556155269417493,0.0538934358149242,0.0500886117250185,0.00380482408990571,0.246575342465753,0.753424657534247,0
NUAA,W1,vibration_x,Noise,Low,294,30,0.0188577590955534,0.0187232516719573,0.0176702454621876,0.0185473791324691,0.0171834346183645,0.0013639445141046,0,0.938775510204082,0.0612244897959184
NUAA,W2,vibration_x,Noise,Low,179,30,0.0155860029551974,0.0151668524319792,0.017206616404332,0.0146612398306441,0.0149597689586753,-0.00029852912803123,0,0.877094972067039,0.122905027932961
NUAA,W3,vibration_x,Noise,Low,98,30,0.0301059783179622,0.0301059783179622,0.0280701217138267,0.0301059783179622,0.0257782717939249,0.00432770652403733,0,1,0
NUAA,W4,vibration_x,Noise,Low,291,30,0.0500661608390864,0.0499428838068593,0.0524532942557337,0.0499461597329638,0.0456378480997783,0.00430831163318554,0,0.965635738831615,0.0343642611683849
NUAA,W5,vibration_x,Noise,Low,74,30,0.0236376150835967,0.0292499935244007,0.031372508225905,0.0314629480777383,0.019332654682276,0.0121302933954623,0.162162162162162,0.837837837837838,0
NUAA,W6,vibration_x,Noise,Low,155,30,0.0350282564245972,0.0350282564245972,0.0341343621119804,0.0350282564245972,0.0296272549523925,0.00540100147220471,0,1,0
NUAA,W7,vibration_x,Noise,Low,82,30,0.0730250950916143,0.0730250950916143,0.0691373268142826,0.0730250950916143,0.0646679098819153,0.008357185209699,0,1,0
NUAA,W8,vibration_x,Noise,Low,299,30,0.058347228778213,0.058347228778213,0.0597958866613994,0.058347228778213,0.0528809257577712,0.00546630302044174,0,1,0
NUAA,W9,vibration_x,Noise,Low,65,30,0.0508664188881504,0.0508664188881504,0.0543650169694179,0.0508664188881504,0.0500192782600949,0.000847140628055525,0,1,0
NUAA,W1,vibration_x,Noise,Medium,287,30,0.0198950556172756,0.0197526920148515,0.0186326767043503,0.0195721646713149,0.017614917234896,0.00195724743641889,0,0.944250871080139,0.0557491289198606
NUAA,W2,vibration_x,Noise,Medium,162,30,0.0144220366778936,0.0140653865277856,0.0159878775185368,0.0136104907198881,0.0137037022859981,-9.32115661099749e-05,0,0.839506172839506,0.160493827160494
NUAA,W3,vibration_x,Noise,Medium,125,30,0.0290145964033599,0.0290145964033599,0.0265076431252432,0.0290145964033599,0.0240719372644666,0.00494265913889335,0,1,0
NUAA,W4,vibration_x,Noise,Medium,259,30,0.0500349090367381,0.0499095042953524,0.0527143365372554,0.0499221478831065,0.0456766219314365,0.00424552595166998,0,0.969111969111969,0.0308880308880309
NUAA,W5,vibration_x,Noise,Medium,67,30,0.0252059280784343,0.0287303966651474,0.0312680999158767,0.030156155942049,0.0206301720641341,0.00952598387791494,0.104477611940299,0.895522388059702,0
NUAA,W6,vibration_x,Noise,Medium,144,30,0.0366087850628091,0.0366087850628091,0.035545626363939,0.0366087850628091,0.0313126742995277,0.00529611076328141,0,1,0
NUAA,W7,vibration_x,Noise,Medium,78,30,0.0798104858813753,0.0798104858813753,0.0783440449258315,0.0798104858813753,0.0727530005298582,0.00705748535151707,0,1,0
NUAA,W8,vibration_x,Noise,Medium,319,30,0.063531410847181,0.063531410847181,0.0658482983619223,0.063531410847181,0.0565299746035963,0.00700143624358471,0,1,0
NUAA,W9,vibration_x,Noise,Medium,77,30,0.0579315734124101,0.0579315734124101,0.0611038076672282,0.0579315734124101,0.0562264336886448,0.00170513972376523,0,1,0
NUAA,W1,vibration_x,Noise,High,289,30,0.0198883304364608,0.019675579373235,0.0182199040894768,0.0194428561039092,0.0170028766955678,0.00243997940834137,0,0.910034602076125,0.0899653979238754
NUAA,W2,vibration_x,Noise,High,169,30,0.014953240510731,0.0145282914187609,0.0164019857191763,0.0141599083183639,0.0141400303829879,1.9877935376042e-05,0,0.928994082840237,0.0710059171597633
NUAA,W3,vibration_x,Noise,High,107,30,0.0303549928319911,0.0303549928319911,0.0278599021344076,0.0303549928319911,0.0248508983868433,0.00550409444514778,0,1,0
NUAA,W4,vibration_x,Noise,High,290,30,0.048756951875967,0.0485690226478058,0.0533214245724632,0.0485804271178844,0.0448120673075935,0.00376835981029098,0,0.958620689655172,0.0413793103448276
NUAA,W5,vibration_x,Noise,High,69,30,0.0265123767646118,0.0308462840970079,0.0324670388140137,0.033527005592988,0.0216444475454088,0.0118825580475793,0.260869565217391,0.739130434782609,0
NUAA,W6,vibration_x,Noise,High,121,30,0.0364349343053793,0.0364349343053793,0.0358848902987465,0.0364349343053793,0.0319011419412694,0.00453379236410988,0,1,0
NUAA,W7,vibration_x,Noise,High,80,30,0.077859317473995,0.077859317473995,0.0760485014000896,0.077859317473995,0.0705985216474118,0.00726079582658319,0,1,0
NUAA,W8,vibration_x,Noise,High,312,30,0.0624940099186982,0.0624940099186982,0.0652007602185703,0.0624940099186982,0.0532966291826214,0.0091973807360768,0,1,0
NUAA,W9,vibration_x,Noise,High,68,30,0.0510203303591889,0.0510203303591889,0.0543429556421705,0.0510203303591889,0.0479755261191938,0.00304480423999503,0,1,0
NUAA,W1,vibration_y,Saturation,Low,298,30,0.0171529363587003,0.018660524506103,0.0159033691407078,0.01787254972495,0.0131645237484929,0.00470802597645708,1,0,0
NUAA,W2,vibration_y,Saturation,Low,154,30,0.0159556742394097,0.0153611567135192,0.0176451579982806,0.0150515583120742,0.0139188547480766,0.00113270356399755,1,0,0
NUAA,W3,vibration_y,Saturation,Low,104,30,0.0315118090968673,0.0288823011855341,0.0262624331724657,0.0289119747144575,0.0233171539643529,0.0055948207501046,1,0,0
NUAA,W4,vibration_y,Saturation,Low,279,30,0.03525055225282,0.0421375682854564,0.0432539381606685,0.0456474986428254,0.0328586833201548,0.0127888153226706,1,0,0
NUAA,W5,vibration_y,Saturation,Low,59,30,0.0235899831724352,0.0252184651456484,0.0267503025939901,0.0261776716413788,0.0226986882023288,0.00347898343904998,1,0,0
NUAA,W6,vibration_y,Saturation,Low,152,30,0.0365928478707473,0.0365903540540699,0.0359520193594967,0.0333449153459645,0.0310381869940062,0.00230672835195838,1,0,0
NUAA,W7,vibration_y,Saturation,Low,77,30,0.0780090502638951,0.0778209543108908,0.0770245762674187,0.0755491004939267,0.0689166200210572,0.00663248047286952,1,0,0
NUAA,W8,vibration_y,Saturation,Low,304,30,0.0709609752438124,0.0621104604751137,0.0635886128921393,0.0596930528608771,0.0560349226067796,0.00365813025409746,1,0,0
NUAA,W9,vibration_y,Saturation,Low,73,30,0.0551742679245918,0.0523402142604049,0.0538982465976149,0.0607404397065543,0.0516303113282388,0.00911012837831551,1,0,0
NUAA,W1,vibration_y,Saturation,Medium,276,30,0.0183597836193265,0.0189757088874255,0.0155061107627564,0.0179104757214608,0.00981090651522463,0.00809956920623619,1,0,0
NUAA,W2,vibration_y,Saturation,Medium,182,30,0.0145013769211245,0.0145814884988055,0.0170585430650738,0.0143636692573998,0.0117988714337799,0.0025647978236199,1,0,0
NUAA,W3,vibration_y,Saturation,Medium,105,30,0.0352741312580209,0.0296208704112139,0.0261793007591055,0.0296849552229979,0.022995187053775,0.00668976816922295,1,0,0
NUAA,W4,vibration_y,Saturation,Medium,267,30,0.0356137148018304,0.0442195415823944,0.0446699797411149,0.0471346376551993,0.028770742240668,0.0183638954145313,1,0,0
NUAA,W5,vibration_y,Saturation,Medium,81,30,0.0208199968382957,0.023151326020255,0.0243681427514653,0.024230750235995,0.0174181425526069,0.00681260768338813,1,0,0
NUAA,W6,vibration_y,Saturation,Medium,138,30,0.0344923165492641,0.033969272107012,0.0339786237807711,0.0307647087624459,0.0288153172720137,0.00194939149043229,1,0,0
NUAA,W7,vibration_y,Saturation,Medium,81,30,0.0755204371847797,0.0762236745550355,0.0737304971546628,0.0717183563835229,0.0639697136967647,0.00774864268675816,1,0,0
NUAA,W8,vibration_y,Saturation,Medium,301,30,0.0801575841438008,0.0591560587805525,0.0603095501979596,0.0575599909720157,0.0536116088736967,0.00394838209831906,1,0,0
NUAA,W9,vibration_y,Saturation,Medium,67,30,0.0559119825047671,0.0479468382900122,0.0499950432252982,0.0566340448831772,0.0473641318471176,0.00926991303605954,1,0,0
NUAA,W1,vibration_y,Saturation,High,296,30,0.0217298420770267,0.0191431505320316,0.0160856824199234,0.0182172802723102,0.0103950076695309,0.00782227260277924,1,0,0
NUAA,W2,vibration_y,Saturation,High,174,30,0.0134351044088629,0.0138934805930594,0.016306100291817,0.013660291886038,0.0102067087014295,0.00345358318460856,1,0,0
NUAA,W3,vibration_y,Saturation,High,121,30,0.0299159714353063,0.0278618463970472,0.0260870043024033,0.0278788419880692,0.0237481713477245,0.00413067064034469,1,0,0
