Dataset,TargetSensor,FaultType,SeverityBin,RecordScenarioRows,IndependentUnitN,TechnicalRepeatN,MeanDurationFraction,MeanSeverity,FixedMAE,DetectorGuidedMedianMAE,DetectorGuidedMaskMAE,SQTR_MAE,BestDeployableResponse,OracleEnvelopeMAE,MeanSQTRRegret,CorrectDetectionRate,MissRate,WrongChannelRate,OracleFullFraction,OracleMedianFraction,OracleMaskFraction,OracleExclusionFraction
PHM2010,force_z,Noise,High,9459,3,30,0.603622012183524,1.70938296167361,0.0143419829882963,0.0138899123987024,0.0139208708023089,0.0130517648175002,SQTR,0.00727810127606179,0.00577366354143835,0.491066708954435,0.492335342002326,0.0165979490432392,0.284385241568876,0.249814991013849,0.203509884765831,0.262289882651443
PHM2010,vibration_x,Saturation,Low,9296,3,30,0.199890668090734,0.199890668090734,0.012695122267535,0.0121556524401217,0.0125216357927705,0.0130516939702066,Median,0.00952702555371609,0.00352466841649057,0.999246987951807,0,0.000753012048192771,0.205249569707401,0.382530120481928,0.13737091222031,0.274849397590361
PHM2010,vibration_x,Saturation,Medium,9400,3,30,0.400532623456211,0.400532623456211,0.0164574127617554,0.0120105542153375,0.0124164636547669,0.0129532099324411,Median,0.00909205096047321,0.00386115897196789,0.998404255319149,0,0.00159574468085106,0.145212765957447,0.402021276595745,0.134787234042553,0.317978723404255
PHM2010,vibration_x,Saturation,High,9654,3,30,0.600775416294619,0.600775416294619,0.0155270693640337,0.0119458782217234,0.012305697844955,0.0128326820131686,Median,0.00905138102593042,0.00378130098723825,0.999171327946965,0,0.000828672053035011,0.334576341412886,0.351046198466957,0.135798632691113,0.178578827429045
PHM2010,vibration_x,Dropout,Low,9509,3,30,0.200303993763953,0.200303993763953,0.0125201216963619,0.0131210750769402,0.0127201847286704,0.0136647673151188,Fixed,0.00928507721108531,0.00437969010403347,0.669786518035545,0.326637921968661,0.00357555999579346,0.341360816068987,0.301714165527395,0.167840992743716,0.189084025659901
PHM2010,vibration_x,Dropout,Medium,9359,3,30,0.399410714678129,0.399410714678129,0.0127793273826917,0.0128239556600549,0.0127584514413747,0.0135731469558508,MaskDropout,0.00909081081178754,0.00448233614406328,0.826904583823058,0.17074473768565,0.0023506784912918,0.395341382626349,0.262421198846031,0.168073512127364,0.174163906400256
PHM2010,vibration_x,Dropout,High,9482,3,30,0.600014529776351,0.600014529776351,0.0128903299055487,0.0120908984353651,0.0125005790974185,0.013010773009833,Median,0.00905483340674882,0.00395593960308421,0.998945370175069,0,0.00105462982493145,0.38230331153765,0.259333473950643,0.169057160936511,0.189306053575195
PHM2010,vibration_x,Bias,Low,9288,3,30,0.600831762923621,0.912234924609811,0.0130129705931255,0.0131078329720654,0.0125645980796574,0.0130876591066243,MaskDropout,0.00910675956882769,0.0039808995377966,0.0343453919035314,0.949074074074074,0.0165805340223945,0.28359173126615,0.348191214470284,0.145133505598622,0.223083548664944
PHM2010,vibration_x,Bias,Medium,9486,3,30,0.595830154814034,1.75036342980995,0.0153313986680496,0.0152905990584295,0.014000731751831,0.0153975063376499,MaskDropout,0.00923915953460339,0.00615834680304654,0.14168247944339,0.843348091924942,0.0149694286316677,0.206198608475648,0.369070208728653,0.148007590132827,0.276723592662872
PHM2010,vibration_x,Bias,High,9576,3,30,0.602271035586392,2.58475373383259,0.0179926630112626,0.0171765681058836,0.0151136565593706,0.0174242373651311,MaskDropout,0.00907397546533445,0.00835026189979664,0.275271512113617,0.70843776106934,0.0162907268170426,0.152673350041771,0.364870509607352,0.154553049289891,0.327903091060986
PHM2010,vibration_x,Noise,Low,9514,3,30,0.598156341495036,0.541955127549879,0.0125874572921523,0.0126241954422585,0.0123542970750058,0.0126269836108293,MaskDropout,0.00938292629361433,0.00324405731721499,0.00536052133697709,0.978452806390582,0.0161866722724406,0.277906243430734,0.344965314273702,0.163443346647046,0.213685095648518
PHM2010,vibration_x,Noise,Medium,9338,3,30,0.60137064684473,1.12558741279096,0.0135350226042333,0.0135778153051131,0.0131023161784339,0.0135890109558824,MaskDropout,0.00940205780928928,0.00418695314659309,0.00471192974941101,0.978689226815164,0.0165988434354251,0.201649175412294,0.364210751766974,0.166416791604198,0.267723281216535
PHM2010,vibration_x,Noise,High,9498,3,30,0.604728540125017,1.70722397853426,0.0154813700609055,0.0155123120876547,0.0145720725092698,0.0155264375146258,MaskDropout,0.00940035156213393,0.00612608595249183,0.00684354600968625,0.975573805011581,0.0175826489787324,0.174141924615709,0.356074963150137,0.170878079595704,0.29890503263845
PHM2010,vibration_y,Saturation,Low,9460,3,30,0.200622155755352,0.200622155755352,0.01349726391899,0.0125279578700442,0.0131742822704443,0.0130620008879965,Median,0.00968157904732013,0.0033804218406763,0.998837209302326,0,0.00116279069767442,0.422938689217759,0.297145877378436,0.077061310782241,0.202854122621564
PHM2010,vibration_y,Saturation,Medium,9501,3,30,0.400487246539699,0.400487246539699,0.0157680853576243,0.0123373232291431,0.0129996381952513,0.0129879070214559,Median,0.00960807587270215,0.00337983114875371,0.998842227133986,0,0.0011577728660141,0.294916324597411,0.349542153457531,0.0783075465740448,0.277233975371014
PHM2010,vibration_y,Saturation,High,9389,3,30,0.599931327906743,0.599931327906743,0.0122576132167282,0.0124376418704445,0.0131171682581752,0.0130857661864219,Fixed,0.0104003423192587,0.00268542386716317,0.999147939077644,0,0.000852060922355948,0.336990094791778,0.33113217595058,0.119395036745127,0.212482692512515
PHM2010,vibration_y,Dropout,Low,9502,3,30,0.200811482248109,0.200811482248109,0.0121645032337483,0.0132236039780448,0.0132131824110808,0.0129568836738285,Fixed,0.00948255359481807,0.00347433007901039,0.343927594190697,0.643653967585771,0.0124184382235319,0.516838560303094,0.225215744053883,0.0937697326878552,0.164175962955167
PHM2010,vibration_y,Dropout,Medium,9445,3,30,0.399930551783965,0.399930551783965,0.0116372886611905,0.0126840167547445,0.0130664354788759,0.0128824332022195,Fixed,0.00942262232835578,0.00345981087386373,0.645420857596612,0.33996823716252,0.0146109052408682,0.488194812069878,0.234515616728428,0.11286394917946,0.164425622022234
PHM2010,vibration_y,Dropout,High,9403,3,30,0.599938051109885,0.599938051109885,0.0115643920434587,0.0124742827352838,0.0131726202579284,0.0130624949561228,Fixed,0.00938073662798664,0.00368175832813613,0.99298096352228,0,0.00701903647771988,0.470913538232479,0.238328193129852,0.109220461554823,0.181537807082846
PHM2010,vibration_y,Bias,Low,9330,3,30,0.597706879915469,0.916514551336831,0.012684182010687,0.0127412226321379,0.012957927982715,0.0127691407743072,Fixed,0.00973552372884238,0.00303361704546483,0.00782422293676313,0.971168274383708,0.0210075026795284,0.452090032154341,0.270846730975348,0.092497320471597,0.184565916398714
PHM2010,vibration_y,Bias,Medium,9502,3,30,0.60059961603311,1.75004430663766,0.0136931526243131,0.0138012556669462,0.0152692445394601,0.0137909244790904,Fixed,0.00995205258437078,0.00383887189471956,0.030519890549358,0.94590612502631,0.0235739844243317,0.357187960429383,0.313091980635656,0.096821721742791,0.23289833719217
PHM2010,vibration_y,Bias,High,9518,3,30,0.599406787538088,2.58734821882096,0.0154633734041666,0.0155620106383635,0.01826229123879,0.0155519550351603,Fixed,0.00987856511609682,0.0056733899190635,0.0798487077117041,0.89850808993486,0.0216432023534356,0.279260348812776,0.343454507249422,0.0945576801849128,0.282727463752889
PHM2010,vibration_y,Noise,Low,9519,3,30,0.602040257264609,0.541264775407467,0.0129350511129744,0.0129974630824666,0.0125507276249174,0.0130007341599919,MaskDropout,0.00955931707939469,0.0034414170805972,0.00147074272507616,0.976258010295199,0.0222712469797248,0.480617711944532,0.258115348250867,0.080890849879189,0.180376089925412
PHM2010,vibration_y,Noise,Medium,9428,3,30,0.601190190333567,1.12314277428716,0.013885081648477,0.0139511105349165,0.0129853258912161,0.0139706392380828,MaskDropout,0.00959917086018964,0.00437146837789319,0.000212134068731438,0.97645311837081,0.0233347475604582,0.389053882053458,0.299533305048791,0.0705345778532032,0.240878235044548
PHM2010,vibration_y,Noise,High,9403,3,30,0.601976460481079,1.70861081483087,0.0160067848936542,0.0160605052158449,0.0136730981333492,0.0160804139345383,MaskDropout,0.00943282022881037,0.00664759370572791,0,0.97894289056684,0.0210571094331596,0.286929703286185,0.330320110602999,0.0790173348931192,0.303732851217696
