OuterTestCase,WearThreshold,TargetInnerSensitivity,SelectedScoreThreshold,InnerPositiveRecordN,AchievedInnerSensitivity,AchievedInnerSpecificity
5,0.3,0.95,0.256923221345396,67,0.955223880597015,0.671232876712329
5,0.4,0.85,0.372939420910118,49,0.857142857142857,0.824175824175824
5,0.4,0.9,0.330841397509385,49,0.918367346938776,0.758241758241758
5,0.4,0.95,0.312584260652364,49,0.959183673469388,0.725274725274725
5,0.6,0.85,0.411562939087202,19,0.894736842105263,0.735537190082645
5,0.6,0.9,0.372939420910118,19,0.947368421052632,0.669421487603306
5,0.6,0.95,0.320452726438461,19,1,0.586776859504132
5,0.8,0.85,0.411562939087202,8,0.875,0.681818181818182
5,0.8,0.9,0.320452726438461,8,1,0.537878787878788
5,0.8,0.95,0.320452726438461,8,1,0.537878787878788
6,0.3,0.85,0.3,70,0.9,0.76
6,0.3,0.9,0.3,70,0.9,0.76
6,0.3,0.95,0.247882223299711,70,0.957142857142857,0.666666666666667
6,0.4,0.85,0.356847800545976,52,0.865384615384615,0.795698924731183
6,0.4,0.9,0.331641670974039,52,0.903846153846154,0.720430107526882
6,0.4,0.95,0.311844469112028,52,0.961538461538462,0.688172043010753
6,0.6,0.85,0.420887038507771,20,0.85,0.744
6,0.6,0.9,0.402845374192061,20,0.9,0.712
6,0.6,0.95,0.348537129135162,20,0.95,0.616
6,0.8,0.85,0.402845374192061,8,0.875,0.656934306569343
6,0.8,0.9,0.314397501220829,8,1,0.489051094890511
6,0.8,0.95,0.314397501220829,8,1,0.489051094890511
7,0.3,0.85,0.3,68,0.911764705882353,0.774647887323944
7,0.3,0.9,0.3,68,0.911764705882353,0.774647887323944
7,0.3,0.95,0.2493151351885,68,0.955882352941177,0.690140845070423
7,0.4,0.85,0.3640494149044,51,0.862745098039216,0.818181818181818
7,0.4,0.9,0.340269038608721,51,0.901960784313726,0.75
7,0.4,0.95,0.31504086560561,51,0.96078431372549,0.704545454545455
7,0.6,0.85,0.42206270442741,20,0.85,0.739495798319328
7,0.6,0.9,0.405254648710707,20,0.9,0.714285714285714
7,0.6,0.95,0.340269038608721,20,0.95,0.588235294117647
7,0.8,0.85,0.405254648710707,8,0.875,0.656488549618321
7,0.8,0.9,0.309832128924743,8,1,0.480916030534351
7,0.8,0.95,0.309832128924743,8,1,0.480916030534351
8,0.3,0.85,0.3,67,0.91044776119403,0.783783783783784
8,0.3,0.9,0.3,67,0.91044776119403,0.783783783783784
8,0.3,0.95,0.247861632889362,67,0.955223880597015,0.648648648648649
8,0.4,0.85,0.369764013082946,50,0.86,0.802197802197802
8,0.4,0.9,0.336577176463238,50,0.9,0.736263736263736
8,0.4,0.95,0.301395372229796,50,0.96,0.681318681318681
8,0.6,0.85,0.38276715144227,19,0.894736842105263,0.655737704918033
8,0.6,0.9,0.331173262824196,19,0.947368421052632,0.565573770491803
8,0.6,0.95,0.301395372229796,19,1,0.524590163934426
8,0.8,0.85,0.38276715144227,8,0.875,0.609022556390977
8,0.8,0.9,0.301395372229796,8,1,0.481203007518797
8,0.8,0.95,0.301395372229796,8,1,0.481203007518797
9,0.3,0.85,0.3,66,0.893939393939394,0.76056338028169
9,0.3,0.9,0.291807750048449,66,0.909090909090909,0.732394366197183
9,0.3,0.95,0.253478138151886,66,0.954545454545455,0.661971830985915
9,0.4,0.85,0.362052140442497,49,0.857142857142857,0.795454545454545
9,0.4,0.9,0.327054819279708,49,0.918367346938776,0.738636363636364
9,0.4,0.95,0.313381319612162,49,0.959183673469388,0.704545454545455
9,0.6,0.85,0.409707937572708,18,0.888888888888889,0.705882352941177
9,0.6,0.9,0.342476198830178,18,0.944444444444444,0.596638655462185
9,0.6,0.95,0.3244756019678,18,1,0.571428571428571
9,0.8,0.85,0.409707937572708,7,0.857142857142857,0.653846153846154
9,0.8,0.9,0.3244756019678,7,1,0.523076923076923
9,0.8,0.95,0.3244756019678,7,1,0.523076923076923
10,0.3,0.85,0.3,65,0.892307692307692,0.746478873239437
10,0.3,0.9,0.292268056433035,65,0.907692307692308,0.732394366197183
10,0.3,0.95,0.253102640901558,65,0.953846153846154,0.661971830985915
10,0.4,0.85,0.365898315963948,48,0.854166666666667,0.784090909090909
10,0.4,0.9,0.320616689346214,48,0.916666666666667,0.693181818181818
10,0.4,0.95,0.313098021358185,48,0.958333333333333,0.693181818181818
10,0.6,0.85,0.401858537900276,19,0.894736842105263,0.700854700854701
10,0.6,0.9,0.348372454392096,19,0.947368421052632,0.606837606837607
10,0.6,0.95,0.314889667796582,19,1,0.547008547008547
10,0.8,0.85,0.401858537900276,8,0.875,0.6484375
10,0.8,0.9,0.314889667796582,8,1,0.5
10,0.8,0.95,0.314889667796582,8,1,0.5
11,0.3,0.85,0.3,62,0.870967741935484,0.71875
11,0.3,0.9,0.293780026370423,62,0.903225806451613,0.703125
11,0.3,0.95,0.241534302814098,62,0.951612903225806,0.609375
11,0.4,0.85,0.344694301844449,46,0.869565217391304,0.7125
11,0.4,0.9,0.320074534137391,46,0.91304347826087,0.6625
11,0.4,0.95,0.294776695901977,46,0.956521739130435,0.625
11,0.6,0.85,0.375009485681274,17,0.882352941176471,0.63302752293578
11,0.6,0.9,0.344694301844449,17,0.941176470588235,0.568807339449541
11,0.6,0.95,0.301080608749245,17,1,0.495412844036697
11,0.8,0.85,0.375009485681274,8,0.875,0.593220338983051
11,0.8,0.9,0.301080608749245,8,1,0.457627118644068
