Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianMAE,CleanSingleMaskTrainMAE,CleanMultiMaskTrainMAE,CleanSingleSQTR_MAE,CleanSubsetRoutingMAE,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleMaskTrainRelativeMAE,MultiMaskTrainRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,SubsetImprovementPercent,SingleImprovementPercent,SingleMaskImprovementPercent,MultiMaskImprovementPercent
23,2026081523,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.5112547400695,1.07185903809586,1.03526239424007,1.03316478224547,1.22120197564131,1.29544572755341,1.48740138951196,14.2801214642454,19.1928439817404,31.4964997765727,31.6352991423568
23,2026081523,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.972379459628855,1.13764335959803,1.20020746705129,1.18391292151715,1.06628030499,1.17666724357485,1.20304456592544,-21.0090599840491,-9.65681087062271,-23.4299485829736,-21.7542092023454
23,2026081523,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.34192383624848,1.02630222991434,1.14995644104672,1.29495112247368,1.16500639730937,1.23052778505359,1.26832012139733,8.30122009802816,13.1838658916516,14.305386789941,3.50040088013647
23,2026081523,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0152299404997609,0.0159954368581373,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.0637403622394,1.23428324374804,1.23153072257735,1.26148129271433,1.04319993090355,1.08314418855338,1.08627253308084,-1.8241130075321,1.93096286133275,-15.7736197942809,-18.5892100642531
23,2026081523,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0113497478958077,0.0122375457113948,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.77965288541559,1.15468171219783,0.950445622346796,1.04167093359746,1.171241092831,1.05550158231921,0.747324708690607,40.6905924762553,34.1871045511504,46.5937638662135,41.4677467648863
24,2026081524,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,3.33226819434653,1.20435080985875,1.15563302999256,1.23766837125663,2.2551714525979,1.15363777530397,0.897245235256814,65.3798041447802,32.3232308724734,65.3199273709965,62.8580804703404
24,2026081524,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,3.17657585064771,1.27078080812196,1.38212509438553,1.29371388619786,2.31271349108154,1.31728358670062,1.30145579841828,58.5313353549538,27.1947656905478,56.4900962744613,59.2733198568494
24,2026081524,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.4312996231807,1.00561606500698,0.94966910277401,0.938641358872369,1.23472502508777,0.962385544421628,0.884640170041743,32.76141984283,13.7339935614664,33.6498740449879,34.4203447223387
24,2026081524,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.43178663966104,0.959960236913512,0.916201547472197,0.950826441581799,1.10722381398217,0.97043168423968,0.940176092670744,32.222325774082,22.6683792604535,36.0099108279781,33.5916109814451
24,2026081524,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,2.51077581316306,1.28099493208922,1.24780755341678,1.79009337139051,2.09952641124847,1.58504175383445,1.61660246794397,36.8704387892909,16.3793756399341,50.301912784288,28.7035759224015
24,2026081524,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0351111199096593,0.033797960303312,0.0360025923619169,0.0360025923619169,0,1.42255956368845,1.06250309338152,1.05305008720781,1.03349646390709,1.30447645705755,1.03348448701982,0.984256071863097,27.3503540097699,8.30074955348309,25.9749739773681,27.3495120845826
24,2026081524,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0758485932239532,0.0769839701819179,0.0769839701819179,0,1.13072394903146,1.01856614805568,0.992761816005264,1.00200996950475,1.10150352075956,1.01156332089954,0.987694639914898,10.5384367452364,2.58422299243955,12.201221451475,11.383324783822
24,2026081524,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.5101073082274,1.10812835201044,1.07792599859726,1.06738701504691,1.2513972244991,1.33315333535119,1.48740138951196,11.717973412361,17.1319006483044,28.619244955343,29.3171412897909
24,2026081524,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.836453678664003,1.10521094956328,1.15731759905139,1.15629855601799,1.0187583612847,1.13621510407712,1.20304456592544,-35.8371817901383,-21.7949525802644,-38.3600345807408,-38.2382055949412
24,2026081524,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.33952267868014,1.02589167992931,1.14957854335336,1.2899320267951,1.16160226383534,1.23128870723335,1.26832012139733,8.08004023891855,13.2823742125898,14.1799865242998,3.70211364647476
24,2026081524,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0152299404997609,0.0159954368581373,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.06642648593348,1.23424816678657,1.2319733039394,1.2617565174321,1.04283891554057,1.08427187023469,1.08627253308084,-1.67338157262558,2.21183276147392,-15.523509607979,-18.3163147272767
24,2026081524,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0113497478958077,0.0122375457113948,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.78476190643328,1.15292550427195,0.95510685309186,1.04156073531895,1.17594819162586,1.05755421929755,0.747324708690607,40.745361300825,34.1117609364539,46.485475197049,41.6414743297365
25,2026081525,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,3.25702159208435,1.15371515132359,1.10260616021297,1.19493274641573,2.26847032706944,1.11913446025747,0.897245235256814,65.639329411345,30.3513881337914,66.1467961129679,63.312102403011
25,2026081525,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,3.7264607015702,1.29105463041255,1.41603139893031,1.30682651821627,2.34753909460606,1.35005934024736,1.30145579841828,63.7710028800654,37.0035193550576,62.0006351245395,64.9311606139946
25,2026081525,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.44728659031647,0.989606548183164,0.957613793300518,0.953421604312155,1.28525790132955,0.945089715883769,0.884640170041743,34.6992004066652,11.1953423786986,33.8338515876721,34.1235101125567
25,2026081525,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.63104140180196,0.984896631533423,0.930754753622013,0.971912493987919,1.17611284707089,0.994456607453651,0.940176092670744,39.0293461370763,27.8919072335299,42.9349400577003,40.4115375051694
25,2026081525,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,2.52007721202556,1.3445676370496,1.31457498999559,1.84950336345588,2.28877644616131,1.66898284749824,1.61660246794397,33.7725511133538,9.17832059908727,47.8359240850807,26.6092580564504
25,2026081525,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0351111199096593,0.033797960303312,0.0360025923619169,0.0360025923619169,0,1.47904856414218,1.06287305308857,1.05259280370784,1.03799835779298,1.31008895329686,1.02518638508134,0.984256071863097,30.6860903735146,11.4235336784439,28.8331141230427,29.8198596747904
25,2026081525,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0758485932239532,0.0769839701819179,0.0769839701819179,0,1.0848588724142,1.01143226418357,0.984689484591807,0.999280361889101,1.06265433164899,0.997935717675236,0.987694639914898,8.01239285120339,2.04676767917256,9.23340264521934,7.88844638700824
25,2026081525,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.50015442103673,1.08170760874988,1.04472915886682,1.03714482781594,1.25390598129785,1.31224137335313,1.48740138951196,12.5262469682118,16.4148727814772,30.3585588112439,30.8641288342046
25,2026081525,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.876432426568952,1.13154926236994,1.18860305046743,1.18677964819458,1.04892319249124,1.15723643017504,1.20304456592544,-32.0394356819241,-19.6810114155125,-35.6183334202453,-35.4102851762994
25,2026081525,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.33615111788386,1.03609962052026,1.15858781438055,1.29904029345596,1.1661814058848,1.23493178016769,1.26832012139733,7.57544085855148,12.7208449496531,13.2891632635481,2.77744215689299
25,2026081525,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0152299404997609,0.0159954368581373,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.05830552528038,1.23125750230114,1.22903159124813,1.25911641314734,1.03893263278889,1.08165353284535,1.08627253308084,-2.20616891882752,1.83055762525267,-16.1320206584495,-18.9747556891716
25,2026081525,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0113497478958077,0.0122375457113948,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.79111755373299,1.15734701720396,0.949152811441367,1.03656486807879,1.18896324337252,1.06540621093441,0.747324708690607,40.5172369220587,33.6189162517827,47.0077879889473,42.1274798006185
26,2026081526,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,3.12233824980638,1.12680933851753,1.09086460867736,1.17763741691831,2.20427621778265,1.07711365649012,0.897245235256814,65.5029798082603,29.4030293508611,65.062574218376,62.2834772308433
26,2026081526,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,3.19407134974926,1.26401133234315,1.39229429016807,1.26628045311388,2.2870391818026,1.31520357091775,1.30145579841828,58.8236007620494,28.3973671414031,56.4100441814688,60.3552859514774
26,2026081526,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.43074369802141,0.956610849517269,0.925098960773457,0.92399934792388,1.24722579519191,0.919398249692013,0.884640170041743,35.7398357956453,12.8267489895838,35.3413918892121,35.4182479222736
26,2026081526,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.50786818024744,0.953993913012968,0.915176093997566,0.947939899942848,1.12891986650076,0.985239981593611,0.940176092670744,34.6600721137351,25.1313953507851,39.3066246780678,37.1337685640867
26,2026081526,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,2.30789645745495,1.29523797536475,1.26712403379768,1.77577011442885,2.34013320950267,1.60558862979419,1.61660246794397,30.4306471545623,-1.39680235409098,45.0961489323048,23.0567684831454
26,2026081526,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0351111199096593,0.033797960303312,0.0360025923619169,0.0360025923619169,0,1.42172047688792,1.06042414951742,1.04812436004793,1.02990315091519,1.28995744287985,1.02596382266241,0.984256071863097,27.8364601663332,9.26785793340323,26.2777474836528,27.559378396969
26,2026081526,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0758485932239532,0.0769839701819179,0.0769839701819179,0,1.10575097462429,1.00631402328203,0.982242864369629,0.990255317388524,1.07650692588318,1.00060470663919,0.987694639914898,9.50903688064405,2.64472285462392,11.1696135105491,10.4449971002748
26,2026081526,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.55777580164084,1.08350076824619,1.0463332033222,1.03843329469519,1.25571372837709,1.31184978295536,1.48740138951196,15.7869969752027,19.3905999146718,32.8315921829012,33.3387196282424
26,2026081526,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.912634346977439,1.12638121444898,1.18172513216894,1.17478374758088,1.06697114562292,1.15917763422933,1.20304456592544,-27.0144651106351,-16.9111319507786,-29.4850600443321,-28.7244723444455
26,2026081526,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.35041113242048,1.02343752339252,1.14771953325569,1.29402595574517,1.16739122892998,1.22285865677184,1.26832012139733,9.44545498673586,13.5529024529339,15.0096214625754,4.17540816434509
26,2026081526,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0152299404997609,0.0159954368581373,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.05464524238052,1.23224958065,1.23029153560028,1.25996738123064,1.035598181333,1.08137296986031,1.08627253308084,-2.53428607134865,1.80601592669476,-16.6545380533167,-19.4683606012072
26,2026081526,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0113497478958077,0.0122375457113948,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.7780056966681,1.16880055133996,0.970261037613168,1.03901919627989,1.18416606837157,1.07035383167118,0.747324708690607,39.8003148315566,33.3991971684544,45.4298127710505,41.5626621316812
27,2026081527,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,3.27925736811871,1.13013864881389,1.0890957187823,1.17303680252999,2.20267912527882,1.06454770393628,0.897245235256814,67.5369272846369,32.8299405013615,66.7883427092182,64.2285837661181
