Repeat,Seed,Dataset,Experiment,TargetPair,FaultType,RunLevelN,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
1,2026081501,NUAA,W2,vibration_x+vibration_y,Saturation,17,0.882352941176471,1,0,0,0.117647058823529
1,2026081501,NUAA,W3,vibration_x+vibration_y,Saturation,11,1,1,0,0,0
1,2026081501,NUAA,W4,vibration_x+vibration_y,Saturation,28,1,1,0,0,0
1,2026081501,NUAA,W5,vibration_x+vibration_y,Saturation,7,1,1,0,0,0
1,2026081501,NUAA,W6,vibration_x+vibration_y,Saturation,14,1,1,0,0,0
1,2026081501,NUAA,W7,vibration_x+vibration_y,Saturation,8,1,1,0,0,0
1,2026081501,NUAA,W8,vibration_x+vibration_y,Saturation,31,1,1,0,0,0
1,2026081501,NUAA,W9,vibration_x+vibration_y,Saturation,7,1,1,0,0,0
1,2026081501,NUAA,W1,vibration_x+vibration_y,Dropout,29,1,1,0,0,0
1,2026081501,NUAA,W2,vibration_x+vibration_y,Dropout,17,0.882352941176471,1,0,0,0.117647058823529
1,2026081501,NUAA,W3,vibration_x+vibration_y,Dropout,11,1,1,0,0,0
1,2026081501,NUAA,W4,vibration_x+vibration_y,Dropout,28,1,1,0,0,0
1,2026081501,NUAA,W5,vibration_x+vibration_y,Dropout,7,1,1,0,0,0
1,2026081501,NUAA,W6,vibration_x+vibration_y,Dropout,14,1,1,0,0,0
1,2026081501,NUAA,W7,vibration_x+vibration_y,Dropout,8,1,1,0,0,0
1,2026081501,NUAA,W8,vibration_x+vibration_y,Dropout,31,1,1,0,0,0
1,2026081501,NUAA,W9,vibration_x+vibration_y,Dropout,7,1,1,0,0,0
1,2026081501,NUAA,W1,vibration_x+vibration_y,Bias,29,0,0,0.413793103448276,0.586206896551724,0
1,2026081501,NUAA,W2,vibration_x+vibration_y,Bias,17,0,0,0.647058823529412,0.352941176470588,0.117647058823529
1,2026081501,NUAA,W3,vibration_x+vibration_y,Bias,11,0,0,0.363636363636364,0.636363636363636,0
1,2026081501,NUAA,W4,vibration_x+vibration_y,Bias,28,0,0,0.678571428571429,0.321428571428571,0
1,2026081501,NUAA,W5,vibration_x+vibration_y,Bias,7,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0
1,2026081501,NUAA,W6,vibration_x+vibration_y,Bias,14,0.142857142857143,0.142857142857143,0.214285714285714,0.642857142857143,0
1,2026081501,NUAA,W7,vibration_x+vibration_y,Bias,8,0.125,0.125,0.5,0.375,0
1,2026081501,NUAA,W8,vibration_x+vibration_y,Bias,31,0,0,0.516129032258065,0.483870967741935,0
1,2026081501,NUAA,W9,vibration_x+vibration_y,Bias,7,0,0,0.142857142857143,0.857142857142857,0
1,2026081501,NUAA,W1,vibration_x+vibration_y,Noise,29,0,0,0.103448275862069,0.896551724137931,0
1,2026081501,NUAA,W2,vibration_x+vibration_y,Noise,17,0,0,0,1,0.117647058823529
1,2026081501,NUAA,W3,vibration_x+vibration_y,Noise,11,0,0,0,1,0
1,2026081501,NUAA,W4,vibration_x+vibration_y,Noise,28,0,0,0.142857142857143,0.857142857142857,0
1,2026081501,NUAA,W5,vibration_x+vibration_y,Noise,7,0,0,0.142857142857143,0.857142857142857,0
1,2026081501,NUAA,W6,vibration_x+vibration_y,Noise,14,0,0,0,1,0
1,2026081501,NUAA,W7,vibration_x+vibration_y,Noise,8,0,0,0,1,0
1,2026081501,NUAA,W8,vibration_x+vibration_y,Noise,31,0,0,0.032258064516129,0.967741935483871,0
1,2026081501,NUAA,W9,vibration_x+vibration_y,Noise,7,0,0,0,1,0
1,2026081501,PHM2010,c1,force_z+vibration_x,Saturation,315,0.977777777777778,1,0,0,0.0222222222222222
1,2026081501,PHM2010,c4,force_z+vibration_x,Saturation,315,0.996825396825397,1,0,0,0.00317460317460317
1,2026081501,PHM2010,c6,force_z+vibration_x,Saturation,315,1,1,0,0,0
1,2026081501,PHM2010,c1,force_z+vibration_x,Dropout,315,0.977777777777778,1,0,0,0.0222222222222222
1,2026081501,PHM2010,c4,force_z+vibration_x,Dropout,315,0.996825396825397,1,0,0,0.00317460317460317
1,2026081501,PHM2010,c6,force_z+vibration_x,Dropout,315,0.507936507936508,0.507936507936508,0.492063492063492,0,0
1,2026081501,PHM2010,c1,force_z+vibration_x,Bias,315,0.104761904761905,0.104761904761905,0.546031746031746,0.349206349206349,0.0222222222222222
1,2026081501,PHM2010,c4,force_z+vibration_x,Bias,315,0.231746031746032,0.234920634920635,0.482539682539683,0.282539682539683,0.00317460317460317
1,2026081501,PHM2010,c6,force_z+vibration_x,Bias,315,0,0,0.298412698412698,0.701587301587302,0
1,2026081501,PHM2010,c1,force_z+vibration_x,Noise,315,0.00317460317460317,0.00317460317460317,0.273015873015873,0.723809523809524,0.0222222222222222
1,2026081501,PHM2010,c4,force_z+vibration_x,Noise,315,0,0,0.434920634920635,0.565079365079365,0.00317460317460317
1,2026081501,PHM2010,c6,force_z+vibration_x,Noise,315,0,0,0.107936507936508,0.892063492063492,0
1,2026081501,PHM2010,c1,force_z+vibration_y,Saturation,315,0.971428571428571,1,0,0,0.0285714285714286
1,2026081501,PHM2010,c4,force_z+vibration_y,Saturation,315,0.987301587301587,1,0,0,0.0126984126984127
1,2026081501,PHM2010,c6,force_z+vibration_y,Saturation,315,1,1,0,0,0
1,2026081501,PHM2010,c1,force_z+vibration_y,Dropout,315,0.533333333333333,0.549206349206349,0.450793650793651,0,0.0285714285714286
1,2026081501,PHM2010,c4,force_z+vibration_y,Dropout,315,0.987301587301587,1,0,0,0.0126984126984127
1,2026081501,PHM2010,c6,force_z+vibration_y,Dropout,315,0.485714285714286,0.485714285714286,0.514285714285714,0,0
1,2026081501,PHM2010,c1,force_z+vibration_y,Bias,315,0.00634920634920635,0.00634920634920635,0.523809523809524,0.46984126984127,0.0285714285714286
1,2026081501,PHM2010,c4,force_z+vibration_y,Bias,315,0.0793650793650794,0.0825396825396825,0.60952380952381,0.307936507936508,0.0126984126984127
1,2026081501,PHM2010,c6,force_z+vibration_y,Bias,315,0,0,0.352380952380952,0.647619047619048,0
1,2026081501,PHM2010,c1,force_z+vibration_y,Noise,315,0,0.00317460317460317,0.203174603174603,0.793650793650794,0.0285714285714286
1,2026081501,PHM2010,c4,force_z+vibration_y,Noise,315,0,0,0.377777777777778,0.622222222222222,0.0126984126984127
1,2026081501,PHM2010,c6,force_z+vibration_y,Noise,315,0,0,0.0793650793650794,0.920634920634921,0
1,2026081501,PHM2010,c1,vibration_x+vibration_y,Saturation,315,0.990476190476191,1,0,0,0.00952380952380952
1,2026081501,PHM2010,c4,vibration_x+vibration_y,Saturation,315,0.987301587301587,1,0,0,0.0126984126984127
1,2026081501,PHM2010,c6,vibration_x+vibration_y,Saturation,315,0.993650793650794,1,0,0,0.00634920634920635
1,2026081501,PHM2010,c1,vibration_x+vibration_y,Dropout,315,0.571428571428571,0.577777777777778,0.422222222222222,0,0.00952380952380952
1,2026081501,PHM2010,c4,vibration_x+vibration_y,Dropout,315,0.987301587301587,1,0,0,0.0126984126984127
1,2026081501,PHM2010,c6,vibration_x+vibration_y,Dropout,315,0.215873015873016,0.219047619047619,0.511111111111111,0.26984126984127,0.00634920634920635
1,2026081501,PHM2010,c1,vibration_x+vibration_y,Bias,315,0.00634920634920635,0.00634920634920635,0.133333333333333,0.86031746031746,0.00952380952380952
1,2026081501,PHM2010,c4,vibration_x+vibration_y,Bias,315,0.0317460317460317,0.0317460317460317,0.323809523809524,0.644444444444444,0.0126984126984127
1,2026081501,PHM2010,c6,vibration_x+vibration_y,Bias,315,0,0,0.00634920634920635,0.993650793650794,0.00634920634920635
1,2026081501,PHM2010,c1,vibration_x+vibration_y,Noise,315,0,0,0.0222222222222222,0.977777777777778,0.00952380952380952
1,2026081501,PHM2010,c4,vibration_x+vibration_y,Noise,315,0,0,0.00317460317460317,0.996825396825397,0.0126984126984127
1,2026081501,PHM2010,c6,vibration_x+vibration_y,Noise,315,0,0,0,1,0.00634920634920635
2,2026081502,NUAA,W1,force_z+vibration_x,Saturation,29,0.931034482758621,1,0,0,0.0689655172413793
2,2026081502,NUAA,W2,force_z+vibration_x,Saturation,17,1,1,0,0,0
2,2026081502,NUAA,W3,force_z+vibration_x,Saturation,11,1,1,0,0,0
2,2026081502,NUAA,W4,force_z+vibration_x,Saturation,28,0.964285714285714,1,0,0,0.0357142857142857
2,2026081502,NUAA,W5,force_z+vibration_x,Saturation,7,1,1,0,0,0
2,2026081502,NUAA,W6,force_z+vibration_x,Saturation,14,0.928571428571429,0.928571428571429,0.0714285714285714,0,0
2,2026081502,NUAA,W7,force_z+vibration_x,Saturation,8,0.875,0.875,0.125,0,0
2,2026081502,NUAA,W8,force_z+vibration_x,Saturation,31,1,1,0,0,0
2,2026081502,NUAA,W9,force_z+vibration_x,Saturation,7,1,1,0,0,0
2,2026081502,NUAA,W1,force_z+vibration_x,Dropout,29,0.896551724137931,0.96551724137931,0.0344827586206897,0,0.0689655172413793
2,2026081502,NUAA,W2,force_z+vibration_x,Dropout,17,0.941176470588235,0.941176470588235,0.0588235294117647,0,0
2,2026081502,NUAA,W3,force_z+vibration_x,Dropout,11,1,1,0,0,0
2,2026081502,NUAA,W4,force_z+vibration_x,Dropout,28,0.964285714285714,1,0,0,0.0357142857142857
2,2026081502,NUAA,W5,force_z+vibration_x,Dropout,7,1,1,0,0,0
2,2026081502,NUAA,W6,force_z+vibration_x,Dropout,14,1,1,0,0,0
2,2026081502,NUAA,W7,force_z+vibration_x,Dropout,8,1,1,0,0,0
2,2026081502,NUAA,W8,force_z+vibration_x,Dropout,31,1,1,0,0,0
2,2026081502,NUAA,W9,force_z+vibration_x,Dropout,7,1,1,0,0,0
2,2026081502,NUAA,W1,force_z+vibration_x,Bias,29,0,0,0.448275862068966,0.551724137931034,0.0689655172413793
2,2026081502,NUAA,W2,force_z+vibration_x,Bias,17,0,0,0.764705882352941,0.235294117647059,0
2,2026081502,NUAA,W3,force_z+vibration_x,Bias,11,0,0,0.636363636363636,0.363636363636364,0
2,2026081502,NUAA,W4,force_z+vibration_x,Bias,28,0,0,0.428571428571429,0.571428571428571,0.0357142857142857
2,2026081502,NUAA,W5,force_z+vibration_x,Bias,7,0,0,0.714285714285714,0.285714285714286,0
2,2026081502,NUAA,W6,force_z+vibration_x,Bias,14,0,0,0.571428571428571,0.428571428571429,0
2,2026081502,NUAA,W7,force_z+vibration_x,Bias,8,0.25,0.25,0.625,0.125,0
2,2026081502,NUAA,W8,force_z+vibration_x,Bias,31,0,0,0.548387096774194,0.451612903225806,0
2,2026081502,NUAA,W9,force_z+vibration_x,Bias,7,0,0,0.714285714285714,0.285714285714286,0
2,2026081502,NUAA,W1,force_z+vibration_x,Noise,29,0,0,0.586206896551724,0.413793103448276,0.0689655172413793
2,2026081502,NUAA,W2,force_z+vibration_x,Noise,17,0,0,0.823529411764706,0.176470588235294,0
2,2026081502,NUAA,W3,force_z+vibration_x,Noise,11,0,0,1,0,0
2,2026081502,NUAA,W4,force_z+vibration_x,Noise,28,0,0,0.678571428571429,0.321428571428571,0.0357142857142857
2,2026081502,NUAA,W5,force_z+vibration_x,Noise,7,0.142857142857143,0.142857142857143,0.714285714285714,0.142857142857143,0
2,2026081502,NUAA,W6,force_z+vibration_x,Noise,14,0,0,0.642857142857143,0.357142857142857,0
2,2026081502,NUAA,W7,force_z+vibration_x,Noise,8,0,0,0.625,0.375,0
2,2026081502,NUAA,W8,force_z+vibration_x,Noise,31,0,0,0.580645161290323,0.419354838709677,0
2,2026081502,NUAA,W9,force_z+vibration_x,Noise,7,0,0,0.714285714285714,0.285714285714286,0
2,2026081502,NUAA,W1,force_z+vibration_y,Saturation,29,0.96551724137931,0.96551724137931,0.0344827586206897,0,0
2,2026081502,NUAA,W2,force_z+vibration_y,Saturation,17,1,1,0,0,0
2,2026081502,NUAA,W3,force_z+vibration_y,Saturation,11,1,1,0,0,0
2,2026081502,NUAA,W4,force_z+vibration_y,Saturation,28,1,1,0,0,0
2,2026081502,NUAA,W5,force_z+vibration_y,Saturation,7,0.857142857142857,1,0,0,0.142857142857143
2,2026081502,NUAA,W6,force_z+vibration_y,Saturation,14,1,1,0,0,0
2,2026081502,NUAA,W7,force_z+vibration_y,Saturation,8,1,1,0,0,0
2,2026081502,NUAA,W8,force_z+vibration_y,Saturation,31,0.967741935483871,0.967741935483871,0.032258064516129,0,0
2,2026081502,NUAA,W9,force_z+vibration_y,Saturation,7,0.857142857142857,0.857142857142857,0.142857142857143,0,0
2,2026081502,NUAA,W1,force_z+vibration_y,Dropout,29,0.896551724137931,0.896551724137931,0.103448275862069,0,0
2,2026081502,NUAA,W2,force_z+vibration_y,Dropout,17,0.941176470588235,0.941176470588235,0.0588235294117647,0,0
2,2026081502,NUAA,W3,force_z+vibration_y,Dropout,11,0.909090909090909,0.909090909090909,0.0909090909090909,0,0
2,2026081502,NUAA,W4,force_z+vibration_y,Dropout,28,0.892857142857143,0.892857142857143,0.107142857142857,0,0
2,2026081502,NUAA,W5,force_z+vibration_y,Dropout,7,0.857142857142857,0.857142857142857,0.142857142857143,0,0.142857142857143
2,2026081502,NUAA,W6,force_z+vibration_y,Dropout,14,0.857142857142857,0.857142857142857,0.142857142857143,0,0
2,2026081502,NUAA,W7,force_z+vibration_y,Dropout,8,1,1,0,0,0
