Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianMAE,CleanSingleSQTR_MAE,CleanSubsetRoutingMAE,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,SubsetImprovementPercent,SingleImprovementPercent
13,2026081513,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.27356954756281,1.22041555534892,1.15570823219818,1.15437338628794,0.747324708690607,9.35921885875654,9.25440747151807
14,2026081514,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.75020756062815,1.09037621386701,1.07911357287027,1.03040438344545,0.897245235256814,41.1267322445093,38.3436800785517
14,2026081514,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,1.9820762604209,1.25394077630254,1.34990066950178,1.29384918039469,1.30145579841828,34.7225328191995,31.894614931964
14,2026081514,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.10727525631126,0.969053392445994,1.01014876019012,0.939415224862643,0.884640170041743,15.1597383299091,8.77166680710498
14,2026081514,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.11478503914481,0.999363903337086,1.0851667335554,1.02107017700817,0.940176092670744,8.40654106809099,2.6568624936098
14,2026081514,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,1.46921582015669,1.20194237935072,1.50775570169219,1.46067290753492,1.61660246794397,0.581460701999896,-2.62315998825745
14,2026081514,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0360025923619169,0.0360025923619169,0,1.09492528175061,1.02492019478707,0.996795164672451,1.00478620306027,0.984256071863097,8.23244108001814,8.96226607547747
14,2026081514,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0769839701819179,0.0769839701819179,0,0.989915013990541,1.00033700561638,0.992591231525918,0.993955515843469,0.987694639914898,-0.408166539129442,-0.270348211467998
14,2026081514,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0589604040915583,0.0589604040915583,0,1.23204143751664,1.10764437441656,1.12269142842917,1.23350738706124,1.48740138951196,-0.118985409090988,8.87551390380817
14,2026081514,NUAA,W9,7,0.052176046086479,0.052176046086479,0.052176046086479,0.052176046086479,0,0.866305542353603,1.1220979373691,1.14238535947161,1.13478929840016,1.20304456592544,-30.9918086541542,-31.8686426001557
14,2026081514,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.00819049407155347,0.00816423872305722,0.053968253968254,1.07474164803885,0.997328932101058,1.06374421950934,1.09884157276141,1.26832012139733,-2.24239237090453,1.02326252542463
14,2026081514,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.01312212312886,1.11055569425558,0.991961208216324,1.02315348572786,1.08627253308084,-0.990143475301948,2.08868352881111
14,2026081514,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.26621799762088,1.20651201142381,1.14501846039316,1.1435375315612,0.747324708690607,9.68873182107556,9.5717749594019
15,2026081515,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.71158390796228,1.12111877388291,1.12524144562176,1.07370738106238,0.897245235256814,37.2682007544298,34.2573016498261
15,2026081515,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,1.99672979675304,1.28884431746347,1.33373432161933,1.31161997891937,1.30145579841828,34.3115938344665,33.2040657785461
15,2026081515,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.11516443077945,0.989759919693543,1.01877166064873,0.97415642522593,0.884640170041743,12.6445931794077,8.64381677447781
15,2026081515,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.09069669679638,0.992541487412741,1.06116265827725,0.995897313116869,0.940176092670744,8.69163571852359,2.70781406103833
15,2026081515,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,1.42197211969161,1.32789470688913,1.66897899481705,1.55935874734066,1.61660246794397,-9.66169629815535,-17.3707256074058
15,2026081515,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0360025923619169,0.0360025923619169,0,1.07760674982199,1.04854163567133,1.0394978516182,1.02553347366584,0.984256071863097,4.83230790497147,3.53643833523557
15,2026081515,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0769839701819179,0.0769839701819179,0,0.984394217021934,1.01445810957721,1.00806232130948,1.00805013867593,0.987694639914898,-2.40309433405232,-2.40433191076125
15,2026081515,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0589604040915583,0.0589604040915583,0,1.26730382069029,1.09308629652311,1.11699854468248,1.21500473929119,1.48740138951196,4.12679899999175,11.8602401061131
15,2026081515,NUAA,W9,7,0.052176046086479,0.052176046086479,0.052176046086479,0.052176046086479,0,0.903352524724597,1.12046215445961,1.14265251099033,1.13669010501474,1.20304456592544,-25.8301796811028,-26.4902106006392
15,2026081515,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.00819049407155347,0.00816423872305722,0.053968253968254,1.08660657538442,0.992705301251559,1.05685578920437,1.09196865838419,1.26832012139733,-0.493470509128306,2.73795381456505
15,2026081515,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.01964368209228,1.11250467536206,0.994797826370063,1.02627557242237,1.08627253308084,-0.650412535923957,2.43671943038327
15,2026081515,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.29783220473521,1.23256782080614,1.16905134297026,1.16819321478844,0.747324708690607,9.98888681246891,9.92276669473045
16,2026081516,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.76659711964453,1.0910782408805,1.08378096019158,1.03559762196801,0.897245235256814,41.3789589911484,38.6514928536925
16,2026081516,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,1.99150778469607,1.29252778432134,1.35269410834103,1.32844241084036,1.30145579841828,33.2946413240808,32.0768857276913
16,2026081516,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.04118451841328,0.991578507986115,0.999887962066114,0.968895008022103,0.884640170041743,6.94300665374292,3.9663052625963
16,2026081516,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.02566535027706,0.93845054692676,1.02267634609297,0.95036981301666,0.940176092670744,7.34114077657641,0.291420996457069
16,2026081516,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,1.5201051770788,1.26637397950349,1.5536736165729,1.49448382798622,1.61660246794397,1.68549844306252,-2.20829716260865
16,2026081516,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0360025923619169,0.0360025923619169,0,1.08083297277619,1.01238060762592,0.990417275949478,0.985967862377652,0.984256071863097,8.77703704346411,8.36537181082436
16,2026081516,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0769839701819179,0.0769839701819179,0,0.996363879633033,1.01245440746735,0.991387779670678,0.999052000203104,0.987694639914898,-0.26979305703663,0.499425969173754
16,2026081516,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0589604040915583,0.0589604040915583,0,1.21030293187688,1.10054895242573,1.11276855028852,1.22199507135839,1.48740138951196,-0.96605066166232,8.05867514813855
16,2026081516,NUAA,W9,7,0.052176046086479,0.052176046086479,0.052176046086479,0.052176046086479,0,0.954753602700775,1.07840479719872,1.10724446857218,1.0934120515339,1.20304456592544,-14.5229563356336,-15.9717507679511
16,2026081516,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.00819049407155347,0.00816423872305722,0.053968253968254,1.09622571056338,1.00120436019324,1.06325273767183,1.10010084425232,1.26832012139733,-0.353497792616186,3.00786348776725
16,2026081516,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.0151446761671,1.11120736543257,0.993771312993837,1.02468494472369,1.08627253308084,-0.939793980166059,2.10544995950335
16,2026081516,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.28081066144167,1.2286616316928,1.165330545714,1.16452495776439,0.747324708690607,9.07907055882843,9.01617383459978
17,2026081517,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.73473692013396,1.08957381979653,1.10557980167332,1.042774721229,0.897245235256814,39.8885958368561,36.2681575032169
17,2026081517,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,2.01425525253364,1.25221842296975,1.35866712637438,1.29378494272265,1.30145579841828,35.7685704880126,32.547420458982
17,2026081517,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.02112485480867,0.969765801928021,0.996977923905853,0.945419130976975,0.884640170041743,7.41395368795317,2.36473833626744
17,2026081517,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.07904666786071,1.00312447240153,1.0869034402458,1.01924900574332,0.940176092670744,5.54171231870236,-0.728121648405785
17,2026081517,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,1.65638630266015,1.35661241249074,1.68490104343457,1.61171144666771,1.61660246794397,2.69712783308375,-1.72150305328128
17,2026081517,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0360025923619169,0.0360025923619169,0,1.11183789297175,1.01478142321463,0.997933010592103,0.992043435611828,0.984256071863097,10.7744535527327,10.2447382932057
17,2026081517,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0769839701819179,0.0769839701819179,0,0.981923681834356,0.999093231267172,0.97666931598246,0.987584257471832,0.987694639914898,-0.576478166500818,0.535109392827766
17,2026081517,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0589604040915583,0.0589604040915583,0,1.25186789779643,1.08528184176225,1.09115968790351,1.20904531193335,1.48740138951196,3.42069526173295,12.8374735206323
17,2026081517,NUAA,W9,7,0.052176046086479,0.052176046086479,0.052176046086479,0.052176046086479,0,0.895402443094268,1.0972325890574,1.12119247024267,1.11922947058142,1.20304456592544,-24.9973661802471,-25.2165971725663
