Repeat,Seed,Dataset,TargetSensor,FaultType,RunLevelN,FullMAE,MedianReplacementMAE,MaskDropoutMAE,AutoMAE,MedianImprovementPercent,MaskDropoutImprovementPercent,AutoImprovementPercent,CorrectDetectionRate,MeanDurationFraction,MeanSeverity
22,2026071822,NUAA,vibration_y,Dropout,152,0.0417658078151281,0.0381670474217936,0.0380965929566498,0.0380944885855088,8.61652289658586,8.78521223561554,8.7902507378046,1,0.365534129366609,0.365534129366609
22,2026071822,NUAA,vibration_y,Bias,152,0.0437167506400774,0.0381629488765903,0.0387843921684681,0.037794482092923,12.7040589297497,11.2825367837096,13.5469092749202,0.486842105263158,0.617755055171477,1.68097263906733
22,2026071822,NUAA,vibration_y,Noise,152,0.0398363733813264,0.0390565585744339,0.0389688316579358,0.0388303835759085,1.9575446776438,2.17776280758857,2.5253046902344,0.0394736842105263,0.579711554552235,1.16748920400057
22,2026071822,PHM2010,force_z,Saturation,945,0.0184942334689643,0.0132185972114446,0.0112049374226772,0.0109959153803692,28.5258443739933,39.4138857310278,40.5440868970223,1,0.395963146034976,0.395963146034976
22,2026071822,PHM2010,force_z,Dropout,945,0.0219158756744509,0.0132185972114446,0.0112049374226772,0.0109959153803692,39.6848320924974,48.8729650180497,49.8267121802115,1,0.39538705991577,0.39538705991577
22,2026071822,PHM2010,force_z,Bias,945,0.0139778317788023,0.0124899467677889,0.0120970414327576,0.0117955245040988,10.6446052188849,13.4555228293487,15.6126308374449,0.515343915343915,0.598998972950626,1.72833158245029
22,2026071822,PHM2010,force_z,Noise,945,0.0133795638594335,0.0132538879657543,0.0133381350924476,0.0128883921947463,0.939312334838638,0.309642133489588,3.67105886146598,0.222222222222222,0.587157438693602,1.11674468008073
22,2026071822,PHM2010,vibration_x,Saturation,945,0.0147809593221562,0.0120343315649808,0.0124113296113227,0.0129426366481836,18.5822022597567,16.0316367780099,12.4370998790115,0.998941798941799,0.407354366693499,0.407354366693499
22,2026071822,PHM2010,vibration_x,Dropout,945,0.0127021328534862,0.012725254619687,0.0126894379492667,0.0134604441322766,-0.182030580749732,0.0999430911796581,-5.96995235002787,0.834920634920635,0.405413531720668,0.405413531720668
22,2026071822,PHM2010,vibration_x,Bias,945,0.0151594444776564,0.0149445680313922,0.0138257805669299,0.0150189131645754,1.41744274719886,8.79757772583424,0.927021523039162,0.148148148148148,0.603049855626061,1.73010371304796
22,2026071822,PHM2010,vibration_x,Noise,945,0.013875752431431,0.0139217979368663,0.0133320011550331,0.0139221937490195,-0.331841503103148,3.91871560900889,-0.334694048615073,0.00529100529100529,0.590475327869444,1.13230413242398
22,2026071822,PHM2010,vibration_y,Saturation,945,0.0141319456303609,0.0124338914905506,0.0130966142448758,0.0130447519198486,12.0157137893466,7.32617724809797,7.69316369415216,0.998941798941799,0.389754665974095,0.389754665974095
22,2026071822,PHM2010,vibration_y,Dropout,945,0.0117721225774573,0.0126874804228552,0.0131215126224761,0.0129186952752397,-7.77563977417874,-11.4625891477106,-9.73972782086,0.675132275132275,0.405210260505129,0.405210260505129
22,2026071822,PHM2010,vibration_y,Bias,945,0.0138422144191613,0.013911385943954,0.0154768124294937,0.0139171331608745,-0.499714299302316,-11.8087898426833,-0.54123378994498,0.0412698412698413,0.58979782345379,1.74598290316062
22,2026071822,PHM2010,vibration_y,Noise,945,0.0141130370118964,0.0141735849605479,0.0130134515182331,0.0141807873761255,-0.429021397737054,7.79127478186593,-0.480055172901504,0.00105820105820106,0.60093316522134,1.12676099412293
23,2026071823,NUAA,force_z,Saturation,152,0.0940955237151175,0.0418814413188466,0.0414152526086214,0.0436592792635584,55.4905061736556,55.9859481371189,53.6011092347594,0.973684210526316,0.400680219497817,0.400680219497817
