CaseID,ActualWearThreshold,HighWearRecordN,Model,MAE,RMSE,MeanResidual,UnderpredictionRate,AlertMissRate,AlertSensitivity,LargeUnderpredictionN,MaximumUnderprediction
8,0.3,3,PrimaryTimeGated,0.131455230774253,0.142698073314664,-0.131455230774253,1,0.333333333333333,0.666666666666667,1,0.20310242017828
8,0.3,3,SafetyWeightedTimeGated,0.131455230774253,0.142698073314664,-0.131455230774253,1,0.333333333333333,0.666666666666667,1,0.20310242017828
13,0.3,10,PrimaryTimeGated,0.42509600197859,0.506583558017587,-0.42509600197859,1,0.3,0.7,7,1.04163260812232
13,0.3,10,SafetyWeightedTimeGated,0.42509600197859,0.506583558017587,-0.42509600197859,1,0.3,0.7,7,1.04163260812232
14,0.3,4,PrimaryTimeGated,0.248331907099953,0.311942878662778,-0.210265165804897,0.75,0,1,2,0.544639007451802
14,0.3,4,SafetyWeightedTimeGated,0.248331907099953,0.311942878662778,-0.210265165804897,0.75,0,1,2,0.544639007451802
15,0.3,4,PrimaryTimeGated,0.0864675211988275,0.142997285913672,0.0641089669711365,0.25,0,1,0,0.044717108455382
15,0.3,4,SafetyWeightedTimeGated,0.0894273221948787,0.104021984735135,0.0767983639710293,0.25,0,1,0,0.025257916447699
16,0.3,2,PrimaryTimeGated,0.0702423946872545,0.0844462762554799,0.0468740819858565,0.5,0,1,0,0.0233683127013979
16,0.3,2,SafetyWeightedTimeGated,0.0702423946872545,0.0844462762554799,0.0468740819858565,0.5,0,1,0,0.0233683127013979
1,0.4,5,PrimaryTimeGated,0.0292762967213908,0.0401857730792426,0.0292762967213908,0,0,1,0,0
1,0.4,5,SafetyWeightedTimeGated,0.0292762967213908,0.0401857730792426,0.0292762967213908,0,0,1,0,0
2,0.4,3,PrimaryTimeGated,0.051688112733476,0.0558552220347953,0.051688112733476,0,0,1,0,0
2,0.4,3,SafetyWeightedTimeGated,0.0429752211494467,0.0523984037954316,0.0373716597458473,0.333333333333333,0,1,0,0.00840534210539901
3,0.4,2,PrimaryTimeGated,0.0261212254602085,0.0304728143078141,0.0156931192659545,0.5,0,1,0,0.010428106194254
3,0.4,2,SafetyWeightedTimeGated,0.0261212254602085,0.0304728143078141,0.0156931192659545,0.5,0,1,0,0.010428106194254
4,0.4,2,PrimaryTimeGated,0.096017879374,0.100104624972095,-0.096017879374,1,1,0,0,0.124328703829035
4,0.4,2,SafetyWeightedTimeGated,0.096017879374,0.100104624972095,-0.096017879374,1,1,0,0,0.124328703829035
9,0.4,3,PrimaryTimeGated,0.089780932748123,0.0927117938759297,-0.0301793739348923,0.666666666666667,0,1,0,0.118293078694769
