Repeat,Seed,Dataset,Experiment,TargetPair,FaultType,RunLevelN,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
2,2026081502,NUAA,W8,force_z+vibration_x,HeteroscedasticNoise,31,0,0,0.419354838709677,0.580645161290323,0
2,2026081502,NUAA,W9,force_z+vibration_x,HeteroscedasticNoise,7,0,0,0.428571428571429,0.571428571428571,0
2,2026081502,NUAA,W1,force_z+vibration_y,SoftClipping,29,0.0689655172413793,0.0689655172413793,0.689655172413793,0.241379310344828,0
2,2026081502,NUAA,W2,force_z+vibration_y,SoftClipping,17,0,0,0.705882352941177,0.294117647058824,0
2,2026081502,NUAA,W3,force_z+vibration_y,SoftClipping,11,0,0,0.636363636363636,0.363636363636364,0
2,2026081502,NUAA,W4,force_z+vibration_y,SoftClipping,28,0.0357142857142857,0.0357142857142857,0.821428571428571,0.142857142857143,0
2,2026081502,NUAA,W5,force_z+vibration_y,SoftClipping,7,0,0,0.714285714285714,0.285714285714286,0.142857142857143
2,2026081502,NUAA,W6,force_z+vibration_y,SoftClipping,14,0,0,0.714285714285714,0.285714285714286,0
2,2026081502,NUAA,W7,force_z+vibration_y,SoftClipping,8,0,0,0.625,0.375,0
2,2026081502,NUAA,W8,force_z+vibration_y,SoftClipping,31,0,0,0.870967741935484,0.129032258064516,0
2,2026081502,NUAA,W9,force_z+vibration_y,SoftClipping,7,0,0,0.857142857142857,0.142857142857143,0
2,2026081502,NUAA,W1,force_z+vibration_y,IntermittentDropout,29,0.758620689655172,0.758620689655172,0.241379310344828,0,0
2,2026081502,NUAA,W2,force_z+vibration_y,IntermittentDropout,17,0.764705882352941,0.764705882352941,0.235294117647059,0,0
2,2026081502,NUAA,W3,force_z+vibration_y,IntermittentDropout,11,1,1,0,0,0
2,2026081502,NUAA,W4,force_z+vibration_y,IntermittentDropout,28,0.964285714285714,0.964285714285714,0.0357142857142857,0,0
2,2026081502,NUAA,W5,force_z+vibration_y,IntermittentDropout,7,0.857142857142857,0.857142857142857,0.142857142857143,0,0.142857142857143
2,2026081502,NUAA,W6,force_z+vibration_y,IntermittentDropout,14,0.714285714285714,0.714285714285714,0.285714285714286,0,0
2,2026081502,NUAA,W7,force_z+vibration_y,IntermittentDropout,8,0.875,0.875,0.125,0,0
2,2026081502,NUAA,W8,force_z+vibration_y,IntermittentDropout,31,1,1,0,0,0
2,2026081502,NUAA,W9,force_z+vibration_y,IntermittentDropout,7,1,1,0,0,0
2,2026081502,NUAA,W1,force_z+vibration_y,GradualDrift,29,0.103448275862069,0.103448275862069,0.379310344827586,0.517241379310345,0
2,2026081502,NUAA,W2,force_z+vibration_y,GradualDrift,17,0.0588235294117647,0.0588235294117647,0.764705882352941,0.176470588235294,0
2,2026081502,NUAA,W3,force_z+vibration_y,GradualDrift,11,0,0,0.181818181818182,0.818181818181818,0
2,2026081502,NUAA,W4,force_z+vibration_y,GradualDrift,28,0.0714285714285714,0.0714285714285714,0.571428571428571,0.357142857142857,0
2,2026081502,NUAA,W5,force_z+vibration_y,GradualDrift,7,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.142857142857143
2,2026081502,NUAA,W6,force_z+vibration_y,GradualDrift,14,0.142857142857143,0.142857142857143,0.5,0.357142857142857,0
2,2026081502,NUAA,W7,force_z+vibration_y,GradualDrift,8,0.125,0.125,0.75,0.125,0
2,2026081502,NUAA,W8,force_z+vibration_y,GradualDrift,31,0.0645161290322581,0.0645161290322581,0.612903225806452,0.32258064516129,0
2,2026081502,NUAA,W9,force_z+vibration_y,GradualDrift,7,0,0,0.571428571428571,0.428571428571429,0
2,2026081502,NUAA,W1,force_z+vibration_y,HeteroscedasticNoise,29,0.0344827586206897,0.0344827586206897,0.379310344827586,0.586206896551724,0
2,2026081502,NUAA,W2,force_z+vibration_y,HeteroscedasticNoise,17,0,0,0.647058823529412,0.352941176470588,0
2,2026081502,NUAA,W3,force_z+vibration_y,HeteroscedasticNoise,11,0,0,0.545454545454545,0.454545454545455,0
2,2026081502,NUAA,W4,force_z+vibration_y,HeteroscedasticNoise,28,0,0,0.678571428571429,0.321428571428571,0
2,2026081502,NUAA,W5,force_z+vibration_y,HeteroscedasticNoise,7,0,0,0.428571428571429,0.571428571428571,0.142857142857143
2,2026081502,NUAA,W6,force_z+vibration_y,HeteroscedasticNoise,14,0,0,0.357142857142857,0.642857142857143,0
2,2026081502,NUAA,W7,force_z+vibration_y,HeteroscedasticNoise,8,0,0,0.625,0.375,0
2,2026081502,NUAA,W8,force_z+vibration_y,HeteroscedasticNoise,31,0,0,0.258064516129032,0.741935483870968,0
2,2026081502,NUAA,W9,force_z+vibration_y,HeteroscedasticNoise,7,0,0,0.428571428571429,0.571428571428571,0
2,2026081502,NUAA,W1,vibration_x+vibration_y,SoftClipping,29,0,0,0.0689655172413793,0.931034482758621,0
2,2026081502,NUAA,W2,vibration_x+vibration_y,SoftClipping,17,0,0,0,1,0.117647058823529
2,2026081502,NUAA,W3,vibration_x+vibration_y,SoftClipping,11,0,0,0,1,0
2,2026081502,NUAA,W4,vibration_x+vibration_y,SoftClipping,28,0,0,0.0357142857142857,0.964285714285714,0
2,2026081502,NUAA,W5,vibration_x+vibration_y,SoftClipping,7,0,0,0.142857142857143,0.857142857142857,0
2,2026081502,NUAA,W6,vibration_x+vibration_y,SoftClipping,14,0,0,0.0714285714285714,0.928571428571429,0
2,2026081502,NUAA,W7,vibration_x+vibration_y,SoftClipping,8,0,0,0,1,0
2,2026081502,NUAA,W8,vibration_x+vibration_y,SoftClipping,31,0,0,0,1,0
2,2026081502,NUAA,W9,vibration_x+vibration_y,SoftClipping,7,0,0,0,1,0
2,2026081502,NUAA,W1,vibration_x+vibration_y,IntermittentDropout,29,1,1,0,0,0
2,2026081502,NUAA,W2,vibration_x+vibration_y,IntermittentDropout,17,0.882352941176471,1,0,0,0.117647058823529
