Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianMAE,CleanSingleMaskTrainMAE,CleanMultiMaskTrainMAE,CleanSingleSQTR_MAE,CleanSubsetRoutingMAE,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleMaskTrainRelativeMAE,MultiMaskTrainRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,SubsetImprovementPercent,SingleImprovementPercent,SingleMaskImprovementPercent,MultiMaskImprovementPercent
4,2026081504,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.08792690194961,1.007176755841,1.2222747102495,1.30435984308612,1.07094249658901,1.10424519001499,1.26832012139733,-1.49994342782889,1.56117155758959,-12.34897381976,-19.8940701575306
4,2026081504,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0152299404997609,0.0159954368581373,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.02132803928446,1.11301928638267,1.11402958557519,1.15261655164253,0.994534121497881,1.02651426325418,1.08627253308084,-0.50779218529587,2.62343896926089,-9.07656920451103,-12.8546859880646
4,2026081504,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0113497478958077,0.0122375457113948,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.28129760321465,1.22403036679436,0.908650807262867,0.965003913896404,1.15961085714691,1.15928525139609,0.747324708690607,9.52256146522395,9.49714927761068,29.0835474144999,24.6854195719009
5,2026081505,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,1.74570421752694,1.08299668723009,1.06416069557507,1.14338792843319,1.08695593789424,1.03691481355703,0.897245235256814,40.6019185182485,37.7353891351606,39.0411797777165,34.5027687420628
5,2026081505,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,1.87727207118467,1.32476624008623,1.4365622646476,1.31568037536755,1.37937273987436,1.35516078123788,1.30145579841828,27.8122333976504,26.5224918088779,23.4760753809626,29.9153066003224
5,2026081505,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.07185001665066,0.972432126924269,0.907731240331312,0.897622509993886,0.98965680714533,0.957136089613838,0.884640170041743,10.7024234039089,7.66834988370572,15.3117296048742,16.2548401315702
5,2026081505,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.11903915444644,0.976546592067921,0.963876590390768,1.00062892470817,1.06670051827948,0.993567916485834,0.940176092670744,11.2124082041327,4.67710499306513,13.8656957121782,10.5814197177802
5,2026081505,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,1.53198939768725,1.32475361710846,1.33975692663199,1.82064831081527,1.59969962170414,1.57232256898732,1.61660246794397,-2.63273175133914,-4.41975800348877,12.5478982651881,-18.8420960069164
5,2026081505,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0351111199096593,0.033797960303312,0.0360025923619169,0.0360025923619169,0,1.07920380974114,1.01188511270807,0.993515902529233,0.968140699906323,0.995289400288417,0.991659730662772,0.984256071863097,8.11191345769683,7.77558499101775,7.93991889562183,10.2912080954808
5,2026081505,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0758485932239532,0.0769839701819179,0.0769839701819179,0,1.00681113618469,1.01017229061735,0.98225668901527,0.998105213843018,0.989222225339358,1.00155292946199,0.987694639914898,0.522263464688036,1.74699208353902,2.4388334899108,0.864702626817108
5,2026081505,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0600727855055994,0.0581625450719606,0.0589604040915583,0.0589604040915583,0,1.29041581507079,1.0989401252567,1.07692169050985,1.06101568223043,1.11389745729584,1.23126113809239,1.48740138951196,4.58415622991674,13.6791843151167,16.5445991956648,17.7772257718161
5,2026081505,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.0530167926313985,0.052176046086479,0.052176046086479,0,0.898391604098705,1.10523460445934,1.17077498708081,1.1712723759212,1.12573188009979,1.12140603202206,1.20304456592544,-24.8237435552493,-25.3052538518725,-30.3190036215181,-30.3743679902545
5,2026081505,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.0103794962693196,0.010633107932084,0.00819049407155347,0.00816423872305722,0.053968253968254,1.07625845122737,0.99440201117515,1.21294783375672,1.29195695995097,1.06279975502607,1.09711942621834,1.26832012139733,-1.93828675325868,1.25050782978326,-12.7004236179023,-20.0415159088989
5,2026081505,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0152299404997609,0.0159954368581373,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.02125388951424,1.11097323622968,1.11266650937282,1.15153069364257,0.994104808063042,1.0260165008979,1.08627253308084,-0.466349399749457,2.65840666360722,-8.95101803745095,-12.7565540230448
5,2026081505,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0113497478958077,0.0122375457113948,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.26524246842016,1.20219945382173,0.892388188982845,0.942930130821421,1.14035061856205,1.13973627401399,0.747324708690607,9.91953696929598,9.8709814897417,29.4689981362131,25.4743533862874
6,2026081506,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.0177798419110346,0.0201138592636131,0.01855793107983,0.01855793107983,0.0689655172413793,1.67539714757308,1.13617586211043,1.10152261945016,1.16484342411864,1.12873275196007,1.0866128668199,0.897245235256814,35.1429678393611,32.6289439136797,34.2530443575254,30.4735939292967
6,2026081506,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0148363214522624,0.0139356538370896,0.0139356538370896,0.117647058823529,1.90086614695709,1.23836802817935,1.35246850968792,1.2577889984765,1.29408945507253,1.2607156430376,1.30145579841828,33.6767796588018,31.9210636086022,28.8498818366063,33.8307433961109
6,2026081506,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0266176293360615,0.0295033416448534,0.0295033416448534,0,1.08663330584239,0.982199158950993,0.920597788753724,0.909459714890161,0.999564942401868,0.95510345285889,0.884640170041743,12.1043458061076,8.01267207367859,15.279811155793,16.3048187460884
6,2026081506,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0521321782101146,0.0522364016436155,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.06881994850944,0.969133559517412,0.947718592082612,0.989946286727864,1.0623428581973,0.988260253598403,0.940176092670744,7.53725592635003,0.606003875692523,11.3303795083276,7.37950876493039
6,2026081506,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0422390021731151,0.0308928557556908,0.0308928557556908,0.142857142857143,1.53727851996119,1.25955418711773,1.2712773107284,1.79557810642759,1.66345154935943,1.49509669027929,1.61660246794397,2.7439289064528,-8.20755821146975,17.3033842455243,-16.8023935228677
